,n_logprob,r_logprob,i_logprob,n_logprob_norm,r_logprob_norm,i_logprob_norm,n_perp,r_perp,i_perp,n_penlp,r_penlp,i_penlp,model,batch,seed
or31,-204.0377655029297,-181.23509216308594,-203.87277221679688,-5.2317376136779785,-4.898245811462402,-5.510075092315674,187.11766052246094,134.05441284179688,247.16969299316406,-41.44473984762557,-38.20884070762819,-42.98142365963261,InternVL3-1B-hf,batch3,366
or32,-124.81714630126953,-107.31134033203125,-112.39140319824219,-4.160571575164795,-3.832548141479492,-4.013978958129883,64.108154296875,46.18006134033203,55.36673355102539,-30.446741073382796,-27.43819054240132,-28.73710016797486,InternVL3-1B-hf,batch3,366
or33,-158.36297607421875,-132.86256408691406,-148.679443359375,-4.280080318450928,-3.7960731983184814,-4.247983932495117,72.2462387084961,44.525997161865234,69.96421813964844,-33.386832840081745,-29.12565070113169,-32.592969761527876,InternVL3-1B-hf,batch3,366
or34,-199.00570678710938,-170.47824096679688,-185.24554443359375,-5.685877323150635,-5.1660075187683105,-5.61350154876709,294.67626953125,175.21389770507812,274.10235595703125,-43.62531118714167,-38.937053026160385,-42.30988978749265,InternVL3-1B-hf,batch3,366
or35,-224.66128540039062,-194.44361877441406,-207.60552978515625,-6.607685089111328,-6.0763630867004395,-6.487672805786133,740.7662353515625,435.442626953125,656.9926147460938,-50.25711496263409,-45.36838462357905,-48.43937581825252,InternVL3-1B-hf,batch3,366
or36,-145.3837890625,-109.65859985351562,-131.22103881835938,-5.0132341384887695,-4.061429500579834,-4.8600382804870605,150.3903350830078,58.057247161865234,129.02914428710938,-36.295589139110035,-28.73715126905919,-34.38780767986786,InternVL3-1B-hf,batch3,366
or37,-169.81605529785156,-154.99488830566406,-159.36598205566406,-5.85572624206543,-5.740551471710205,-5.902443885803223,349.2284240722656,311.2359924316406,365.9306945800781,-42.39519283450172,-40.61798670711373,-41.76347627631109,InternVL3-1B-hf,batch3,366
or38,-188.14442443847656,-157.30123901367188,-172.55615234375,-6.271481037139893,-5.617901802062988,-6.162720203399658,529.2606201171875,275.3111267089844,474.7176513671875,-45.894212013567454,-40.21999310845104,-44.120486917990796,InternVL3-1B-hf,batch3,366
or39,-136.55221557617188,-117.26716613769531,-124.60151672363281,-4.876864910125732,-4.510275840759277,-4.792366027832031,131.2186279296875,90.9468994140625,120.58634185791016,-34.914722883651315,-31.52158706269715,-33.49307130809546,InternVL3-1B-hf,batch3,366
or40,-178.98365783691406,-149.559814453125,-157.94781494140625,-5.7736663818359375,-5.157235145568848,-5.446476459503174,321.715087890625,173.68357849121094,231.93946838378906,-42.68668006462439,-37.33814899251608,-39.43224367380431,InternVL3-1B-hf,batch3,366
or41,-187.15965270996094,-158.5761260986328,-170.5871124267578,-5.347418785095215,-4.805337429046631,-5.169306755065918,210.06536865234375,122.16071319580078,175.7929229736328,-41.028462062567804,-36.21862236241711,-38.96191915444452,InternVL3-1B-hf,batch3,366
or42,-221.20199584960938,-200.7323455810547,-196.41061401367188,-6.912562370300293,-6.6910786628723145,-6.54702091217041,1004.8186645507812,805.1903076171875,697.1641845703125,-51.611759184811824,-48.96479315596246,-47.91058990007989,InternVL3-1B-hf,batch3,366
or43,-175.7501678466797,-169.14129638671875,-176.0197296142578,-5.021433353424072,-5.125494003295898,-5.3339314460754395,151.62847900390625,168.25723266601562,207.2511749267578,-38.527316061874984,-38.631696273812864,-40.20272327291097,InternVL3-1B-hf,batch3,366
or44,-192.4368438720703,-171.91989135742188,-172.09182739257812,-5.345468044281006,-5.056467533111572,-5.061524391174316,209.65599060058594,157.03482055664062,157.8309326171875,-41.36015336043257,-38.45877463451249,-38.4972370205425,InternVL3-1B-hf,batch3,366
or45,-198.09312438964844,-170.26004028320312,-182.4385986328125,-5.826268196105957,-5.320626258850098,-5.701206207275391,339.09088134765625,204.51193237304688,299.22808837890625,-44.313771765416185,-39.72577265472516,-42.567323963265615,InternVL3-1B-hf,batch3,366
cs46,-186.71475219726562,-165.459716796875,-181.7268524169922,-5.491610527038574,-5.170616149902344,-5.678964138031006,242.64767456054688,176.0232696533203,292.6461181640625,-41.76841038576822,-38.60574144147152,-42.40125640971337,InternVL3-1B-hf,batch3,366
cs47,-230.09031677246094,-218.47901916503906,-227.49737548828125,-6.574008941650391,-6.62057638168335,-6.89385986328125,716.2354125976562,750.3775024414062,986.20068359375,-50.439566947116354,-49.90038087024541,-51.960164079970575,InternVL3-1B-hf,batch3,366
cs48,-197.55731201171875,-186.06307983398438,-186.53762817382812,-6.812321186065674,-6.891225337982178,-6.908801078796387,908.978271484375,983.60595703125,1001.0463256835938,-49.320897979359685,-48.759722246306104,-48.88408246470017,InternVL3-1B-hf,batch3,366
cs49,-192.81549072265625,-167.32492065429688,-176.7842254638672,-7.415980815887451,-6.971871852874756,-7.366009712219238,1662.3388671875,1066.2166748046875,1581.311279296875,-51.82908803913843,-47.44202627632301,-50.124045102786795,InternVL3-1B-hf,batch3,366
cs50,-196.89723205566406,-169.22476196289062,-183.2305145263672,-5.966582775115967,-5.458863258361816,-5.910661697387695,390.17010498046875,234.83033752441406,368.9501953125,-44.97112312854507,-40.35923368771553,-43.699533500373136,InternVL3-1B-hf,batch3,366
fr1,-191.9193115234375,-169.30397033691406,-182.52882385253906,-6.397310733795166,-6.046570777893066,-6.518887042999268,600.2286987304688,422.6611633300781,677.8235473632812,-46.815023080499316,-43.288943957982696,-46.67037642853356,InternVL3-1B-hf,batch3,366
fr2,-193.4708709716797,-176.48605346679688,-184.53671264648438,-5.690319538116455,-5.515189170837402,-5.766772270202637,295.9881896972656,248.43698120117188,319.5047912597656,-43.279765746091236,-41.17845165013338,-43.05686455172185,InternVL3-1B-hf,batch3,366
fr3,-178.45657348632812,-162.796142578125,-172.01585388183594,-6.373449325561523,-6.261390209197998,-6.615994453430176,586.075927734375,523.9468383789062,746.9472045898438,-45.62915207015037,-43.759843021379915,-46.2381150059831,InternVL3-1B-hf,batch3,366
fr4,-165.92855834960938,-149.4141845703125,-158.990234375,-5.530952453613281,-5.336221218109131,-5.678223133087158,252.38418579101562,207.7262725830078,292.4293518066406,-40.47507896516347,-38.20337024300545,-40.651848459488164,InternVL3-1B-hf,batch3,366
fr5,-197.79010009765625,-185.3754119873047,-178.930419921875,-5.9936394691467285,-5.979851722717285,-5.77194881439209,400.87091064453125,395.3817443847656,321.16302490234375,-45.17505326120748,-44.21108049183025,-42.673983096230494,InternVL3-1B-hf,batch3,366
fr6,-219.60472106933594,-188.66998291015625,-212.51092529296875,-4.7740159034729,-4.287954330444336,-4.829793930053711,118.39374542236328,72.81735229492188,125.1851577758789,-39.63752525849152,-35.161463766579374,-39.604578769953044,InternVL3-1B-hf,batch3,366
fr7,-161.57949829101562,-144.62759399414062,-140.15972900390625,-6.214596271514893,-6.026149749755859,-5.839988708496094,499.99407958984375,414.11749267578125,343.77545166015625,-43.43280724415801,-41.00660013894467,-39.73981592391615,InternVL3-1B-hf,batch3,366
fr8,-147.90121459960938,-136.81973266601562,-138.8937225341797,-5.282186508178711,-5.262297630310059,-5.342066287994385,196.79971313476562,192.92425537109375,208.94400024414062,-37.81652242046743,-36.77734575816979,-37.334837290963556,InternVL3-1B-hf,batch3,366
fr9,-224.3321990966797,-201.28427124023438,-206.6287078857422,-6.409491539001465,-6.099523544311523,-6.261476039886475,607.5846557617188,445.6454162597656,523.9918212890625,-49.1772932188214,-45.973118318011664,-47.19378209235001,InternVL3-1B-hf,batch3,366
fr10,-149.95184326171875,-137.6639404296875,-132.81161499023438,-4.284338474273682,-4.171634674072266,-4.024594306945801,72.55453491210938,64.82132720947266,55.95760726928711,-32.87190066552259,-31.44230089366601,-30.334034807245214,InternVL3-1B-hf,batch3,366
fr11,-248.20912170410156,-220.05014038085938,-236.67227172851562,-7.091689109802246,-6.668186187744141,-7.171887397766113,1201.936279296875,786.9669189453125,1302.30029296875,-54.41150582386187,-50.25922332277186,-54.05570084401487,InternVL3-1B-hf,batch3,366
fr12,-245.43341064453125,-218.75543212890625,-225.50738525390625,-6.293164253234863,-5.912309169769287,-6.094794273376465,540.862060546875,369.5585632324219,443.54278564453125,-49.85314276994471,-46.119056526979776,-47.54253527129684,InternVL3-1B-hf,batch3,366
fr13,-205.29037475585938,-182.4821014404297,-192.21588134765625,-6.220920562744141,-5.886519432067871,-6.200511932373047,503.16619873046875,360.14959716796875,493.0013732910156,-46.88810819667048,-43.521040836061275,-45.842497184315405,InternVL3-1B-hf,batch3,366
fr14,-205.4044189453125,-180.22344970703125,-189.88409423828125,-6.041306495666504,-5.631982803344727,-5.933877944946289,420.4419860839844,279.2152099609375,377.6160583496094,-45.94932090043885,-42.05047630790519,-44.304537611474686,InternVL3-1B-hf,batch3,366
fr15,-261.6532287597656,-238.1790008544922,-243.50204467773438,-6.381785869598389,-6.10715389251709,-6.243642330169678,590.9822387695312,449.058837890625,514.7299194335938,-51.290960646454124,-48.379606114830146,-49.46083814022504,InternVL3-1B-hf,batch3,366
cs51,-209.71401977539062,-176.94216918945312,-200.66156005859375,-5.114975929260254,-4.536978721618652,-5.145168304443359,166.49676513671875,93.40816497802734,171.60037231445312,-41.10950048770534,-35.94100411781924,-40.75895525295635,InternVL3-1B-hf,batch3,366
cs52,-197.0822296142578,-180.8444061279297,-195.69129943847656,-4.379605293273926,-4.205683708190918,-4.550960540771484,79.80652618408203,67.06643676757812,94.72335052490234,-36.14035911528859,-34.2636077911047,-37.07656806010573,InternVL3-1B-hf,batch3,366
cs53,-227.0513458251953,-203.44461059570312,-209.41888427734375,-6.306982040405273,-5.9836649894714355,-6.159379005432129,548.387451171875,396.8923034667969,473.1341857910156,-48.79979475378234,-45.51090841047418,-46.847363682246296,InternVL3-1B-hf,batch3,366
cs54,-203.5235137939453,-191.29518127441406,-199.17288208007812,-6.784117698669434,-6.831971168518066,-7.113317489624023,883.7000122070312,927.016357421875,1228.21533203125,-49.64564493304938,-48.911826256296116,-50.92605751156747,InternVL3-1B-hf,batch3,366
cs55,-162.4640350341797,-137.1169891357422,-143.54061889648438,-5.602208137512207,-5.078406810760498,-5.316319465637207,271.02423095703125,160.51812744140625,203.63302612304688,-40.559734365896745,-35.93290141963674,-37.6162789237948,InternVL3-1B-hf,batch3,366
cs56,-187.19912719726562,-159.8024444580078,-177.3297119140625,-6.455142498016357,-5.918609142303467,-6.567767143249512,635.96435546875,371.89410400390625,711.7787475585938,-46.73493965019042,-41.87785568746684,-46.47105436856193,InternVL3-1B-hf,batch3,366
cs57,-210.75094604492188,-176.69180297851562,-207.86790466308594,-5.1402668952941895,-4.530559062957764,-5.329946517944336,170.76133728027344,92.81043243408203,206.4269256591797,-41.31276549129768,-35.89014901041614,-42.222728768851034,InternVL3-1B-hf,batch3,366
cs58,-199.04891967773438,-165.5581512451172,-183.0096893310547,-6.031785488128662,-5.340585231781006,-5.903538227081299,416.45794677734375,208.634765625,366.33135986328125,-45.462566344765264,-39.48476592611837,-43.646867829236264,InternVL3-1B-hf,batch3,366
cs59,-188.294677734375,-164.73043823242188,-175.72650146484375,-5.23040771484375,-4.84501314163208,-5.168426513671875,186.86898803710938,127.10494995117188,175.63824462890625,-40.46988399593727,-36.850481636554925,-39.310319845987955,InternVL3-1B-hf,batch3,366
cs60,-239.4014892578125,-228.14035034179688,-230.46746826171875,-6.300039291381836,-6.3372321128845215,-6.40187406539917,544.5933227539062,565.2296752929688,602.9739990234375,-49.53054236265274,-49.03385281101585,-49.534016667994116,InternVL3-1B-hf,batch3,366
de61,-193.89984130859375,-171.7139129638672,-181.29962158203125,-4.729264259338379,-4.402920722961426,-4.648708343505859,113.21224212646484,81.68911743164062,104.44998931884766,-38.009502795182286,-34.8790256228478,-36.82610242480997,InternVL3-1B-hf,batch3,366
de62,-229.05758666992188,-198.4321746826172,-216.81402587890625,-5.326920509338379,-4.839808940887451,-5.28814697265625,205.80323791503906,126.4451904296875,197.97622680664062,-43.39829735006148,-38.89796013937613,-42.501289671317366,InternVL3-1B-hf,batch3,366
de63,-184.56716918945312,-162.6917724609375,-170.42996215820312,-5.592944622039795,-5.248121738433838,-5.497740745544434,268.5251770019531,190.2086639404297,244.1397247314453,-42.15494958689612,-38.801149356968835,-40.64666772372123,InternVL3-1B-hf,batch3,366
de64,-241.2376708984375,-215.32095336914062,-234.60943603515625,-5.360837459564209,-5.0074639320373535,-5.456033229827881,212.90316772460938,149.52503967285156,234.16668701171875,-44.23745395751604,-40.795692017302414,-44.45017610726848,InternVL3-1B-hf,batch3,366
de65,-188.86911010742188,-166.73748779296875,-173.59861755371094,-6.745325565338135,-6.412980556488037,-6.676870346069336,850.0758666992188,609.708251953125,793.830810546875,-48.29150968263863,-44.81928242309584,-46.66356421334349,InternVL3-1B-hf,batch3,366
de66,-239.36383056640625,-228.79904174804688,-227.9884796142578,-6.469292640686035,-6.537115573883057,-6.513956546783447,645.0272827148438,690.2926025390625,674.4898071289062,-50.463816715195435,-50.156498307137554,-49.97880980817963,InternVL3-1B-hf,batch3,366
de67,-174.38949584960938,-168.9246368408203,-166.66201782226562,-5.625467300415039,-5.824987411499023,-5.7469658851623535,277.4018859863281,338.6568908691406,313.2388000488281,-41.590996105054046,-42.1726469903188,-41.607775963051154,InternVL3-1B-hf,batch3,366
de68,-172.98480224609375,-149.904541015625,-157.18185424804688,-4.675264835357666,-4.282987117767334,-4.490910053253174,107.26097106933594,72.45655059814453,89.20258331298828,-36.469475502646596,-32.861531238238285,-34.456837521139676,InternVL3-1B-hf,batch3,366
de69,-258.2855529785156,-226.6334686279297,-230.269775390625,-7.379587173461914,-6.86768102645874,-6.977872371673584,1602.9278564453125,960.7181396484375,1072.6337890625,-56.62042463880027,-51.76284865108998,-52.59337733578018,InternVL3-1B-hf,batch3,366
de70,-198.81851196289062,-189.98573303222656,-196.604248046875,-6.4135003089904785,-6.55123233795166,-6.779456615447998,610.0252075195312,700.1063842773438,879.5906372070312,-47.41719056170864,-47.43062588268302,-49.08296211103266,InternVL3-1B-hf,batch3,366
de71,-186.39186096191406,-162.4357452392578,-176.2202911376953,-6.903402328491211,-6.497429847717285,-7.048811435699463,995.656494140625,663.434326171875,1151.4893798828125,-48.845882684432695,-44.82348315763226,-48.62727252680181,InternVL3-1B-hf,batch3,366
de72,-225.1494140625,-202.98190307617188,-228.90699768066406,-6.822709560394287,-6.547802925109863,-7.384096622467041,918.4702758789062,697.7095947265625,1610.1724853515625,-51.42389213100772,-48.41013788765095,-54.59313935494378,InternVL3-1B-hf,batch3,366
de73,-194.56764221191406,-173.11387634277344,-196.91233825683594,-5.559075355529785,-5.245875358581543,-5.967040538787842,259.58270263671875,189.78187561035156,390.3487548828125,-42.65241472458622,-39.53902940631327,-44.97457336918996,InternVL3-1B-hf,batch3,366
de74,-172.98748779296875,-148.6062469482422,-155.0736083984375,-3.459749698638916,-3.095963478088379,-3.2307002544403076,31.809011459350586,22.108530044555664,25.297367095947266,-29.39311003070199,-26.009821446199826,-27.141771953005932,InternVL3-1B-hf,batch3,366
de75,-216.14044189453125,-193.7713623046875,-210.87283325195312,-6.357071876525879,-6.055355072021484,-6.589776039123535,576.5556640625,426.3902587890625,727.617919921875,-48.35098765240619,-45.21153097995484,-49.20171649725196,InternVL3-1B-hf,batch3,366
