,n_logprob,r_logprob,i_logprob,n_logprob_norm,r_logprob_norm,i_logprob_norm,n_perp,r_perp,i_perp,n_penlp,r_penlp,i_penlp,model,batch,seed
or31,-182.30223083496094,-164.4669647216797,-170.06478881835938,-4.05116081237793,-4.011389255523682,-4.147921562194824,57.4641227722168,55.223533630371094,63.30229187011719,-33.430046447054636,-32.23987968796119,-33.33720142486277,llava-1.5-7b-hf,batch3,200
or32,-125.05783081054688,-119.20602416992188,-120.9893569946289,-3.678171396255493,-3.973534345626831,-4.0329790115356445,39.5739631652832,53.1721305847168,56.42876052856445,-27.975651295781155,-29.078015800238713,-29.513025527431676,llava-1.5-7b-hf,batch3,200
or33,-141.17616271972656,-127.59832763671875,-139.90740966796875,-3.4433209896087646,-3.448603630065918,-3.7812814712524414,31.29070281982422,31.45643424987793,43.87222671508789,-27.674265823500342,-26.90088391294542,-29.495942899457493,llava-1.5-7b-hf,batch3,200
or34,-181.01580810546875,-153.42613220214844,-154.77734375,-4.892319202423096,-4.6492767333984375,-4.69022274017334,133.26226806640625,104.5093765258789,108.87742614746094,-38.16261020377148,-35.04236910983416,-35.350984422790745,llava-1.5-7b-hf,batch3,200
or35,-219.20822143554688,-189.36337280273438,-201.07208251953125,-5.346541881561279,-5.117928981781006,-5.434380531311035,209.88125610351562,166.9891815185547,229.15086364746094,-42.97061539169025,-39.92248333875702,-42.3909689897499,llava-1.5-7b-hf,batch3,200
or36,-143.28402709960938,-115.7706069946289,-132.34629821777344,-4.214236259460449,-3.859020471572876,-4.411543369293213,67.64248657226562,47.418880462646484,82.39653778076172,-32.05288267366838,-28.24001188559439,-32.283332805344436,llava-1.5-7b-hf,batch3,200
or37,-163.3065185546875,-148.79440307617188,-148.59658813476562,-4.803133010864258,-4.959813594818115,-4.953219890594482,121.8917007446289,142.5672149658203,141.63026428222656,-36.53194836183465,-36.295531486467574,-36.24727833792254,llava-1.5-7b-hf,batch3,200
or38,-146.1925048828125,-142.42088317871094,-138.90748596191406,-4.299779415130615,-4.747363090515137,-4.630249977111816,73.68354034423828,115.2799072265625,102.53968811035156,-32.70351414342161,-34.74083394855348,-33.88380830329828,llava-1.5-7b-hf,batch3,200
or39,-138.87445068359375,-132.67593383789062,-131.28456115722656,-4.084542751312256,-4.4225311279296875,-4.376152038574219,59.414764404296875,83.30687713623047,79.53141021728516,-31.066452864539226,-32.36374107193024,-32.024342479668675,llava-1.5-7b-hf,batch3,200
or40,-178.7916259765625,-146.2705535888672,-153.74874877929688,-5.417928218841553,-5.043812274932861,-5.301681041717529,225.41163635253906,155.0600128173828,200.6738739013672,-40.83582152069909,-36.51697311265831,-38.3839316084038,llava-1.5-7b-hf,batch3,200
or41,-174.56207275390625,-144.4294891357422,-152.82986450195312,-4.257611274719238,-3.9034998416900635,-4.130537033081055,70.64103698730469,49.575653076171875,62.21132278442383,-34.218788151108946,-30.449309115620036,-32.220316046016336,llava-1.5-7b-hf,batch3,200
or42,-208.52066040039062,-186.6949462890625,-188.78866577148438,-5.085869789123535,-5.045809268951416,-5.102396488189697,161.7205352783203,155.36997985839844,164.4154510498047,-40.875570453551624,-39.35991301981927,-39.80132087982867,llava-1.5-7b-hf,batch3,200
or43,-174.66891479492188,-150.17294311523438,-164.86329650878906,-4.7207818031311035,-4.550695419311523,-4.9958577156066895,112.2559814453125,94.69823455810547,147.79966735839844,-36.8245280884559,-34.29934410404489,-37.65460554863757,llava-1.5-7b-hf,batch3,200
or44,-190.03256225585938,-164.4589080810547,-158.90411376953125,-3.9590117931365967,-3.7377026081085205,-3.611457347869873,52.405513763427734,42.00138473510742,37.01996612548828,-33.260465927520826,-30.6493690643777,-29.614150340642297,llava-1.5-7b-hf,batch3,200
or45,-199.8416748046875,-166.61050415039062,-172.49148559570312,-4.7581353187561035,-4.384487152099609,-4.539249420166016,116.52843475341797,80.19708251953125,93.62049865722656,-38.506032644531274,-34.47058186424607,-35.6873169877997,llava-1.5-7b-hf,batch3,200
cs46,-183.98619079589844,-167.8170166015625,-166.88330078125,-5.110727787017822,-5.244281768798828,-5.2151031494140625,165.79098510742188,189.47967529296875,184.03082275390625,-39.5438675588496,-39.15575632437815,-38.93789791003644,llava-1.5-7b-hf,batch3,200
cs47,-228.82830810546875,-208.13055419921875,-215.42039489746094,-6.0217976570129395,-6.121487140655518,-6.3358941078186035,412.3191223144531,455.5416564941406,564.473876953125,-47.343022984232356,-46.55916203356991,-48.189911903882056,llava-1.5-7b-hf,batch3,200
cs48,-202.36932373046875,-182.23472595214844,-185.41676330566406,-5.621370315551758,-5.694835186004639,-5.794273853302002,276.2677001953125,297.3277893066406,328.41363525390625,-43.49492590152593,-42.5197555511526,-43.26220159001376,llava-1.5-7b-hf,batch3,200
cs49,-182.26036071777344,-169.65560913085938,-169.8218231201172,-5.523041248321533,-5.850193500518799,-5.8559250831604,250.39540100097656,347.30157470703125,349.2978820800781,-41.62807692987192,-42.35513686819595,-42.3966327922063,llava-1.5-7b-hf,batch3,200
cs50,-181.84703063964844,-164.53433227539062,-164.05416870117188,-5.195629596710205,-5.307559013366699,-5.292069911956787,180.4817352294922,201.85690307617188,198.75440979003906,-39.863848269431735,-39.24059037773041,-39.12607383963374,llava-1.5-7b-hf,batch3,200
fr1,-210.84939575195312,-167.773193359375,-179.33473205566406,-6.389375686645508,-5.785282611846924,-6.183956146240234,595.4846801757812,325.4739990234375,484.906494140625,-48.15778281362408,-41.885184957660684,-44.77156493882922,llava-1.5-7b-hf,batch3,200
fr2,-185.98959350585938,-169.55477905273438,-169.98837280273438,-5.313988208770752,-5.469508647918701,-5.483495712280273,203.1588592529297,237.3435516357422,240.68661499023438,-40.771965916249165,-40.437941063015984,-40.54135093801773,llava-1.5-7b-hf,batch3,200
fr3,-174.674560546875,-133.03025817871094,-143.724609375,-5.634663105010986,-4.927046775817871,-5.323133945465088,279.9645690917969,137.97145080566406,205.02542114257812,-41.658982566371,-34.86193201217545,-37.66449549978823,llava-1.5-7b-hf,batch3,200
fr4,-161.49771118164062,-138.81573486328125,-138.07757568359375,-5.209603309631348,-5.141323566436768,-5.113984107971191,183.02145385742188,170.94187927246094,166.3317108154297,-38.516371895032364,-36.37807501299986,-36.184632893223935,llava-1.5-7b-hf,batch3,200
