,n_logprob,r_logprob,i_logprob,n_logprob_norm,r_logprob_norm,i_logprob_norm,n_perp,r_perp,i_perp,n_penlp,r_penlp,i_penlp,model,batch,seed
or16,-367.23388671875,-292.0384216308594,-324.8476867675781,-8.956923484802246,-7.6852216720581055,-8.548623085021973,7761.44287109375,2175.952392578125,5159.64501953125,-71.98756507235646,-60.420766215586454,-67.20878036612383,Qwen2.5-VL-7B-Instruct,batch2,234
or17,-397.7274475097656,-277.58660888671875,-348.27459716796875,-9.039260864257812,-6.770404815673828,-8.494502067565918,8427.5458984375,871.6646728515625,4887.82177734375,-74.12243865654116,-54.414325020477904,-68.27104233406192,Qwen2.5-VL-7B-Instruct,batch2,234
or18,-406.42852783203125,-303.0763244628906,-385.72637939453125,-8.835402488708496,-7.048286437988281,-8.970380783081055,6873.31982421875,1150.885009765625,7866.59619140625,-73.35826369883597,-57.42222573818549,-73.08148292354575,Qwen2.5-VL-7B-Instruct,batch2,234
or19,-390.2896423339844,-335.4633483886719,-435.93743896484375,-9.292611122131348,-8.601624488830566,-11.17788314819336,10857.4970703125,5440.490234375,71530.78125,-75.20206044721523,-68.14028357991529,-88.54887085831508,Qwen2.5-VL-7B-Instruct,batch2,234
or20,-515.4041137695312,-446.7972106933594,-537.209716796875,-10.518450736999512,-9.712983131408691,-11.678472518920898,36991.76953125,16530.84375,118003.8515625,-88.86973252566838,-80.64460380471522,-96.96359720754887,Qwen2.5-VL-7B-Instruct,batch2,234
or21,-379.286376953125,-332.63836669921875,-387.29107666015625,-8.245356559753418,-7.735775947570801,-9.006769180297852,3809.8935546875,2288.783935546875,8158.12109375,-68.45924474426278,-63.023185382870814,-73.37793761943091,Qwen2.5-VL-7B-Instruct,batch2,234
or22,-385.3509216308594,-266.8482666015625,-332.04852294921875,-8.961648941040039,-6.671206951141357,-8.301213264465332,7798.20556640625,789.3477783203125,4028.75732421875,-73.01034697949295,-53.23722078587856,-66.24491420911826,Qwen2.5-VL-7B-Instruct,batch2,234
or23,-455.59405517578125,-370.14599609375,-482.3483581542969,-10.847477912902832,-9.490922927856445,-12.36790657043457,51404.33984375,13239.0078125,235133.0,-87.78509076446913,-75.1851230870563,-97.97599072092915,Qwen2.5-VL-7B-Instruct,batch2,234
or24,-438.94818115234375,-364.4939270019531,-429.21771240234375,-8.778963088989258,-7.755189895629883,-9.132291793823242,6496.13818359375,2333.65234375,9249.1943359375,-74.58373059806796,-64.77517905160707,-76.2774140070488,Qwen2.5-VL-7B-Instruct,batch2,234
or25,-369.0397033691406,-303.7680358886719,-381.11907958984375,-9.225993156433105,-8.20994758605957,-10.300516128540039,10157.759765625,3677.349853515625,29747.966796875,-73.62479216083105,-64.04181638782752,-80.34932986147278,Qwen2.5-VL-7B-Instruct,batch2,234
