,n_logprob,r_logprob,i_logprob,n_logprob_norm,r_logprob_norm,i_logprob_norm,n_perp,r_perp,i_perp,n_penlp,r_penlp,i_penlp,model,batch,seed
or16,-141.52032470703125,-112.90029907226562,-116.78065490722656,-4.717344284057617,-4.032153606414795,-4.1707377433776855,111.87076568603516,56.382205963134766,64.76321411132812,-34.5211600381879,-28.867218587095273,-29.859377872801232,InternVL3-8B-hf,batch2,111
or17,-149.99893188476562,-125.01295471191406,-124.37132263183594,-4.545422077178955,-4.032675743103027,-4.0119781494140625,94.20018005371094,56.411651611328125,55.256065368652344,-34.259600119888994,-29.814945488393427,-29.661919543720586,InternVL3-8B-hf,batch2,111
or18,-165.9376220703125,-147.09584045410156,-149.906982421875,-4.741075038909912,-4.457449913024902,-4.542635917663574,114.55728912353516,86.26724243164062,93.9380874633789,-36.37624527127683,-33.59653705486374,-34.238598958145445,InternVL3-8B-hf,batch2,111
or19,-155.60842895507812,-135.1507110595703,-146.0153045654297,-5.019626617431641,-4.660369396209717,-5.03501033782959,151.3547821044922,105.67510986328125,153.70118713378906,-37.111808432346756,-33.740864178247094,-36.45324927011309,InternVL3-8B-hf,batch2,111
or20,-175.5354766845703,-146.40052795410156,-149.94284057617188,-4.619354724884033,-4.066681385040283,-4.165079116821289,101.4285659790039,58.36295700073242,64.39778137207031,-36.3170980724792,-31.465639148890453,-32.22698292460122,InternVL3-8B-hf,batch2,111
or21,-161.76290893554688,-123.0256118774414,-142.32656860351562,-4.621797561645508,-3.7280490398406982,-4.312926292419434,101.67664337158203,41.597869873046875,74.65864562988281,-35.46107975888261,-28.09892186874884,-32.50724032180672,InternVL3-8B-hf,batch2,111
or22,-139.35206604003906,-133.08152770996094,-137.292236328125,-4.354752063751221,-4.436051368713379,-4.5764079093933105,77.84751892089844,84.44086456298828,97.16474151611328,-32.51419702042074,-32.462677892469856,-33.48979923622549,InternVL3-8B-hf,batch2,111
or23,-157.46240234375,-128.47955322265625,-161.28662109375,-5.079432010650635,-4.430329322814941,-5.561607837677002,160.68276977539062,83.95906066894531,260.24090576171875,-37.553971531743656,-32.0753854787843,-40.26578871415613,InternVL3-8B-hf,batch2,111
or24,-180.89520263671875,-140.532470703125,-155.8152618408203,-4.638338565826416,-3.7981748580932617,-4.211223602294922,103.37245178222656,44.61967086791992,67.43901062011719,-36.743955681354834,-29.627721228034936,-32.84971165593005,InternVL3-8B-hf,batch2,111
or25,-142.8624267578125,-107.39086151123047,-129.39227294921875,-4.926290512084961,-3.9774394035339355,-4.792306423187256,137.8671417236328,53.38017272949219,120.57916259765625,-35.666121913968205,-28.142867374609075,-33.908560986153105,InternVL3-8B-hf,batch2,111
or26,-146.73678588867188,-137.12689208984375,-134.87753295898438,-5.434695720672607,-5.4850754737854,-5.395101070404053,229.2230987548828,241.06715393066406,220.3244171142578,-38.45386698764351,-37.83960808006973,-37.21890657764467,InternVL3-8B-hf,batch2,111
or27,-150.52915954589844,-120.28850555419922,-141.57330322265625,-4.704036235809326,-4.009616851806641,-4.719110488891602,110.391845703125,55.1257438659668,112.06852722167969,-35.122082433908325,-29.342066304520387,-34.534083127647044,InternVL3-8B-hf,batch2,111
or28,-178.4441680908203,-142.45176696777344,-156.8741912841797,-4.461104393005371,-3.7487306594848633,-4.128268241882324,86.58307647705078,42.46714401245117,62.07033920288086,-35.60027462643372,-29.472303202064502,-32.45620485109153,InternVL3-8B-hf,batch2,111
or29,-177.11032104492188,-169.079345703125,-170.8890380859375,-5.209126949310303,-5.283729553222656,-5.340282440185547,182.93429565429688,197.10360717773438,208.5716094970703,-39.61988266006865,-39.450288140655786,-39.87253300830069,InternVL3-8B-hf,batch2,111
or30,-168.10028076171875,-143.88861083984375,-147.05233764648438,-5.6033430099487305,-5.138879299163818,-5.251869201660156,271.33197021484375,170.52455139160156,190.9228057861328,-41.004828858701,-36.79054896611535,-37.59947501881509,InternVL3-8B-hf,batch2,111
cs31,-206.50894165039062,-179.96395874023438,-199.96278381347656,-5.58132266998291,-5.141827583312988,-5.713222503662109,265.42242431640625,171.02806091308594,302.8454284667969,-43.53719338813455,-39.45104805919665,-43.83511815086859,InternVL3-8B-hf,batch2,111
cs32,-188.190185546875,-176.59930419921875,-183.11978149414062,-5.376862525939941,-5.351494312286377,-5.549084663391113,216.3424530029297,210.92324829101562,257.002197265625,-41.254371743374286,-40.33509750565329,-41.82436774183373,InternVL3-8B-hf,batch2,111
cs33,-186.01107788085938,-147.00735473632812,-168.53224182128906,-5.1669745445251465,-4.3237457275390625,-4.9568305015563965,175.38340759277344,75.47079467773438,142.14256286621094,-39.979073409696014,-32.88579745357198,-37.70095162158387,InternVL3-8B-hf,batch2,111
cs34,-195.69338989257812,-168.20913696289062,-179.8490753173828,-6.989049911499023,-6.469582557678223,-6.917272567749023,1084.6904296875,645.2142944335938,1009.562744140625,-50.036394132692266,-45.214863888592916,-48.343696470892446,InternVL3-8B-hf,batch2,111
cs35,-208.66201782226562,-190.17587280273438,-209.4031982421875,-6.323091506958008,-6.134705543518066,-6.754941463470459,557.293212890625,461.6031799316406,858.28955078125,-47.65818796824388,-45.35596565881979,-49.94158369485411,InternVL3-8B-hf,batch2,111
cs36,-164.42906188964844,-138.0885009765625,-140.01451110839844,-6.32419490814209,-5.753687858581543,-5.833938121795654,557.908447265625,315.35150146484375,341.7016906738281,-44.198774138587154,-39.15255579486151,-39.69864195420779,InternVL3-8B-hf,batch2,111
cs37,-204.20736694335938,-202.04281616210938,-188.498779296875,-7.041633129119873,-7.483067512512207,-6.981436252593994,1143.2530517578125,1777.685546875,1076.4632568359375,-50.98110826214147,-52.94737465764853,-49.39802206049811,InternVL3-8B-hf,batch2,111
cs38,-216.34423828125,-199.6784210205078,-193.29849243164062,-6.7607574462890625,-6.655947685241699,-6.443283557891846,863.2958374023438,777.394287109375,628.467041015625,-50.47832721538774,-48.707708539331364,-47.15144772446657,InternVL3-8B-hf,batch2,111
cs39,-173.43507385253906,-143.82290649414062,-155.5423126220703,-6.423521518707275,-5.75291633605957,-6.2216925621032715,616.1691284179688,315.1082763671875,503.5548095703125,-45.450424857864725,-39.68734601750572,-42.9212684673887,InternVL3-8B-hf,batch2,111
cs40,-201.1687774658203,-175.85801696777344,-200.7533416748047,-7.450695514678955,-7.03432035446167,-8.030133247375488,1721.0596923828125,1134.92333984375,3072.151123046875,-52.71832392871507,-48.52730444323732,-55.39706802923717,InternVL3-8B-hf,batch2,111
cs41,-209.36424255371094,-180.3801727294922,-199.3096160888672,-5.509585380554199,-5.010560512542725,-5.536378383636475,247.04867553710938,149.98878479003906,253.75732421875,-43.31604000117086,-38.76883167047158,-42.83730766819606,InternVL3-8B-hf,batch2,111
cs42,-229.0570831298828,-215.44049072265625,-218.6815948486328,-7.635236740112305,-7.694303512573242,-7.810057163238525,2069.861083984375,2195.803955078125,2465.271240234375,-55.87406784839245,-55.0854850634293,-55.91419554548228,InternVL3-8B-hf,batch2,111
cs43,-179.96145629882812,-165.25682067871094,-165.195068359375,-5.2929840087890625,-5.164275646209717,-5.162345886230469,198.93618774414062,174.9107208251953,174.57350158691406,-40.25768650764397,-38.558400884936326,-38.54399257988271,InternVL3-8B-hf,batch2,111
cs44,-231.82720947265625,-211.8145294189453,-216.29324340820312,-6.1007161140441895,-5.883737087249756,-6.008145809173584,446.17718505859375,359.1488952636719,406.7284851074219,-47.96347531169861,-45.524969358567475,-46.48757243252125,InternVL3-8B-hf,batch2,111
