,n_logprob,r_logprob,i_logprob,n_logprob_norm,r_logprob_norm,i_logprob_norm,n_perp,r_perp,i_perp,n_penlp,r_penlp,i_penlp,model,batch,seed
or1,-218.85108947753906,-181.841796875,-191.8961639404297,-5.9148945808410645,-5.510357856750488,-5.815035343170166,370.5152587890625,247.23959350585938,335.3032531738281,-46.13922346238286,-41.53247738327596,-43.82888436959256,llava-1.5-7b-hf,batch1,149
or2,-160.97796630859375,-134.23007202148438,-135.467041015625,-4.734646320343018,-4.47433614730835,-4.515568256378174,113.82320404052734,87.73633575439453,91.42950439453125,-36.01104722962636,-32.7428431766517,-33.04457796066525,llava-1.5-7b-hf,batch1,149
or3,-153.82199096679688,-109.67134857177734,-121.6011962890625,-4.6612725257873535,-3.781770706176758,-4.193144798278809,105.77059173583984,43.89369583129883,66.23074340820312,-35.132782840188106,-27.37984911359073,-30.35817877490246,llava-1.5-7b-hf,batch1,149
or4,-157.5645751953125,-126.59081268310547,-130.9563751220703,-5.252152919769287,-4.868877410888672,-5.036783695220947,190.97698974609375,130.17469787597656,153.97398376464844,-38.4348462168009,-34.02779699342805,-35.20126661011418,llava-1.5-7b-hf,batch1,149
or5,-196.50161743164062,-165.92755126953125,-186.00942993164062,-4.465946197509766,-4.148189067840576,-4.650235652923584,87.00331115722656,63.31922912597656,104.6096420288086,-36.621005603668515,-33.10316305927429,-37.10957247592695,llava-1.5-7b-hf,batch1,149
or6,-146.04579162597656,-124.30462646484375,-127.40364074707031,-3.24546217918396,-3.031820058822632,-3.107405662536621,25.673572540283203,20.73493766784668,22.362951278686523,-26.781447353067467,-24.366998008781582,-24.974486860900512,llava-1.5-7b-hf,batch1,149
or7,-142.466796875,-125.57170104980469,-136.05654907226562,-4.190199851989746,-4.185723781585693,-4.535218715667725,66.0359878540039,65.7410659790039,93.24390411376953,-31.87006687042068,-30.63080018493218,-33.188377107602065,llava-1.5-7b-hf,batch1,149
or8,-141.33828735351562,-125.0527114868164,-124.20842742919922,-4.559299468994141,-4.631581783294678,-4.600312232971191,95.51654052734375,102.67634582519531,99.51538848876953,-33.7084531965418,-32.77133477358955,-32.55008155031103,llava-1.5-7b-hf,batch1,149
or9,-163.66812133789062,-141.5133056640625,-159.44000244140625,-4.307055950164795,-4.162156105041504,-4.689411640167236,74.2216567993164,64.2098159790039,108.78915405273438,-33.86182284192969,-31.6567692507683,-35.66700207407645,llava-1.5-7b-hf,batch1,149
or10,-117.629150390625,-108.59083557128906,-102.85692596435547,-3.179166316986084,-3.2906315326690674,-3.1168766021728516,24.026714324951172,26.859821319580078,22.575756072998047,-24.79913473823624,-24.802033965248683,-23.492414971374462,llava-1.5-7b-hf,batch1,149
or11,-192.51986694335938,-159.70701599121094,-160.54306030273438,-4.936407089233398,-4.5630574226379395,-4.586944580078125,139.2689666748047,95.87615966796875,98.19395446777344,-39.10519104784282,-35.01039434431784,-35.19366895410311,llava-1.5-7b-hf,batch1,149
or12,-170.5035400390625,-160.3856201171875,-174.429931640625,-4.371885776519775,-4.582446098327637,-4.983712196350098,79.19283294677734,97.75321197509766,146.01541137695312,-34.63317118083559,-35.159155486129094,-38.23789865641695,llava-1.5-7b-hf,batch1,149
or13,-179.9547119140625,-143.2163848876953,-157.80099487304688,-4.389139175415039,-3.870713233947754,-4.264891624450684,80.57103729248047,47.976593017578125,71.15721130371094,-35.27588820775703,-30.193556731122335,-33.26835330093744,llava-1.5-7b-hf,batch1,149
or14,-152.46780395507812,-137.64727783203125,-154.22695922851562,-4.12075138092041,-3.932779312133789,-4.406484603881836,61.60551452636719,51.04866027832031,81.98076629638672,-32.14398472630914,-30.17453834079837,-33.80907612357188,llava-1.5-7b-hf,batch1,149
or15,-188.98890686035156,-154.579833984375,-169.20431518554688,-4.295202732086182,-3.8644959926605225,-4.23010778427124,73.34708404541016,47.67923355102539,68.72463989257812,-35.22089999880942,-30.83925129316332,-33.756889636860016,llava-1.5-7b-hf,batch1,149
cs16,-168.72689819335938,-151.95545959472656,-158.83682250976562,-4.820768356323242,-4.901788711547852,-5.123768329620361,124.06037902832031,134.5301971435547,167.96713256835938,-36.98770029344339,-36.240594064198774,-37.88176365874631,llava-1.5-7b-hf,batch1,149
cs17,-150.38633728027344,-135.9040985107422,-135.77304077148438,-3.9575352668762207,-3.9971792697906494,-3.9933247566223145,52.328189849853516,54.444358825683594,54.23490905761719,-31.11391191640922,-30.40197998767278,-30.372662146564178,llava-1.5-7b-hf,batch1,149
cs18,-199.499267578125,-174.88922119140625,-184.51431274414062,-5.541646480560303,-5.465288162231445,-5.7660722732543945,255.09765625,236.34396362304688,319.2812194824219,-42.8780691695952,-40.8058721779661,-43.05163811440564,llava-1.5-7b-hf,batch1,149
cs19,-166.11358642578125,-138.491455078125,-143.02264404296875,-5.5371198654174805,-5.326594829559326,-5.500871181488037,253.94554138183594,205.73622131347656,244.9051971435547,-40.52021300398305,-37.22670720599477,-38.444697476904395,llava-1.5-7b-hf,batch1,149
cs20,-225.1434326171875,-202.05941772460938,-210.78684997558594,-5.772908687591553,-5.773126125335693,-6.022481441497803,321.471435546875,321.5413513183594,412.6011962890625,-45.73178386962277,-44.29473465280404,-46.20793078150024,llava-1.5-7b-hf,batch1,149
cs21,-205.23019409179688,-185.52708435058594,-183.71469116210938,-5.005614280700684,-5.014245510101318,-4.965261936187744,149.2487335205078,150.54249572753906,143.34608459472656,-40.23055193517698,-39.11369883335477,-38.73160151538184,llava-1.5-7b-hf,batch1,149
cs22,-150.92196655273438,-121.89097595214844,-121.17198181152344,-4.4388813972473145,-4.063032627105713,-4.039066314697266,84.68016815185547,58.150394439697266,56.773311614990234,-33.761502832630015,-29.73295812291172,-29.557573337394746,llava-1.5-7b-hf,batch1,149
cs23,-172.27798461914062,-154.16552734375,-165.1014862060547,-5.940619945526123,-6.16662073135376,-6.604059219360352,380.1705322265625,476.57293701171875,738.085205078125,-43.009822400227385,-42.54135017019637,-45.55908353396465,llava-1.5-7b-hf,batch1,149
cs24,-201.28883361816406,-187.3159637451172,-194.26885986328125,-4.792591571807861,-4.929367542266846,-5.112338542938232,120.6135482788086,138.29202270507812,166.0582275390625,-38.78487510603492,-38.75440084454647,-40.19290783458855,llava-1.5-7b-hf,batch1,149
cs25,-176.8747100830078,-162.31419372558594,-151.59027099609375,-5.7056355476379395,-6.011636734008789,-5.614454746246338,300.5564270019531,408.15081787109375,274.3637390136719,-42.183706893040025,-42.53608512636868,-39.725772117751156,llava-1.5-7b-hf,batch1,149
cs26,-157.00425720214844,-128.03976440429688,-130.8253173828125,-5.064653396606445,-4.742213726043701,-4.845382213592529,158.3255615234375,114.68781280517578,127.15187072753906,-37.44470627636192,-33.55412236756747,-34.284104853378096,llava-1.5-7b-hf,batch1,149
cs27,-211.3506317138672,-180.24436950683594,-184.82827758789062,-6.0385894775390625,-5.814334392547607,-5.962202548980713,419.3011779785156,335.06829833984375,388.46478271484375,-46.33152097482298,-42.98735330126552,-44.08059175703515,llava-1.5-7b-hf,batch1,149
cs28,-220.69107055664062,-200.1079864501953,-206.23033142089844,-4.413821220397949,-4.350173473358154,-4.4832682609558105,82.58444213867188,77.49190521240234,88.52352142333984,-37.498648037643896,-36.11846470659977,-37.223516557196476,llava-1.5-7b-hf,batch1,149
cs29,-224.21728515625,-208.5348358154297,-217.98248291015625,-5.900454998016357,-6.133377552032471,-6.41124963760376,365.20361328125,460.9905700683594,608.65380859375,-46.389033649289274,-46.649600524683244,-48.76305538772234,llava-1.5-7b-hf,batch1,149
cs30,-189.61209106445312,-155.7080535888672,-156.52069091796875,-5.576826095581055,-5.190268516540527,-5.2173566818237305,264.23162841796875,179.51675415039062,184.4459991455078,-42.41655006089935,-37.981983494622106,-38.18021073405924,llava-1.5-7b-hf,batch1,149
de31,-219.4204559326172,-199.66799926757812,-204.02377319335938,-5.485511302947998,-5.546333312988281,-5.667326927185059,241.17222595214844,256.29608154296875,289.2602844238281,-43.775196317331,-42.91433441076276,-43.850514166929685,llava-1.5-7b-hf,batch1,149
de32,-168.515625,-155.50157165527344,-154.95458984375,-5.810883522033691,-6.220062732696533,-6.198183536529541,333.9140319824219,502.7347717285156,491.85479736328125,-42.07053570388739,-42.91002616332345,-42.759088757395716,llava-1.5-7b-hf,batch1,149
de33,-172.41448974609375,-150.39700317382812,-167.79022216796875,-5.38795280456543,-5.371321678161621,-5.992508411407471,218.7550811767578,215.14703369140625,400.4177551269531,-40.2284576618268,-38.45466487811523,-42.90189715972055,llava-1.5-7b-hf,batch1,149
de34,-198.07701110839844,-166.49002075195312,-169.76296997070312,-5.825794696807861,-5.549667835235596,-5.65876579284668,338.9303894042969,257.1521301269531,286.7944641113281,-44.310167196757355,-40.61203691439697,-41.41040989729698,llava-1.5-7b-hf,batch1,149
de35,-205.79067993164062,-182.24420166015625,-197.59503173828125,-5.879733562469482,-5.87884521484375,-6.374032974243164,357.71392822265625,357.3962707519531,586.4180908203125,-45.11268845689617,-43.46430296439911,-47.12539683291535,llava-1.5-7b-hf,batch1,149
de36,-161.46209716796875,-144.29869079589844,-151.52235412597656,-5.208454608917236,-5.344396114349365,-5.611938953399658,182.81134033203125,209.43136596679688,273.67437744140625,-38.50787813629595,-37.81493937427826,-39.707973811253666,llava-1.5-7b-hf,batch1,149
de37,-184.0587158203125,-164.606201171875,-162.7918701171875,-6.135290622711182,-6.331007957458496,-6.261226177215576,461.873291015625,561.7224731445312,523.8609008789062,-44.89758201452649,-44.24638943868209,-43.758694577584016,llava-1.5-7b-hf,batch1,149
de38,-170.38040161132812,-154.1376953125,-155.15380859375,-5.875186443328857,-6.165507793426514,-6.206152439117432,356.0910339355469,476.0428161621094,495.78997802734375,-42.53608393424676,-42.5336700343855,-42.81406236109456,llava-1.5-7b-hf,batch1,149
de39,-179.32882690429688,-167.44960021972656,-163.52706909179688,-5.604025840759277,-5.980343341827393,-5.840252876281738,271.5173034667969,395.576171875,343.8663024902344,-41.84173923716303,-42.81480431482759,-41.811861325171265,llava-1.5-7b-hf,batch1,149
de40,-196.02154541015625,-166.43881225585938,-174.43682861328125,-6.125673294067383,-5.944243431091309,-6.229887008666992,457.4526062011719,381.5505676269531,507.6981201171875,-45.7365529541695,-42.55635825810384,-44.60135272091813,llava-1.5-7b-hf,batch1,149
de41,-204.56419372558594,-179.33367919921875,-183.57872009277344,-5.383268356323242,-5.274519920349121,-5.399374008178711,217.7327423095703,195.2967071533203,221.2678680419922,-42.322942495548354,-40.117251693475836,-41.0668746239609,llava-1.5-7b-hf,batch1,149
de42,-219.90574645996094,-195.51617431640625,-197.12274169921875,-5.638608932495117,-5.58617639541626,-5.632078170776367,281.0714416503906,266.7138671875,279.2418518066406,-44.66788993971866,-42.86034850144888,-43.21253439174239,llava-1.5-7b-hf,batch1,149
de43,-196.6015167236328,-177.81784057617188,-180.478271484375,-5.173724174499512,-5.229936599731445,-5.308184623718262,176.57119750976562,186.7809600830078,201.9832305908203,-40.675518698027055,-39.778155992997235,-40.37329895127516,llava-1.5-7b-hf,batch1,149
de44,-233.63075256347656,-207.705322265625,-206.1826934814453,-5.840768814086914,-5.76959228515625,-5.727297306060791,344.0437316894531,320.4070739746094,307.1380310058594,-46.610203300154915,-44.64178381763177,-44.314527566918436,llava-1.5-7b-hf,batch1,149
de45,-202.5057830810547,-185.2965087890625,-193.4681396484375,-5.0626444816589355,-5.147125244140625,-5.374114990234375,158.0078125,171.93650817871094,215.74884033203125,-40.40065622910895,-39.82549217946657,-41.5818081673409,llava-1.5-7b-hf,batch1,149
fr46,-188.97421264648438,-170.65841674804688,-170.61468505859375,-5.726491451263428,-5.884772777557373,-5.883265018463135,306.8906555175781,359.52105712890625,358.9794006347656,-43.16151373139853,-42.60549141937194,-42.59457364481822,llava-1.5-7b-hf,batch1,149
fr47,-228.28750610351562,-214.84078979492188,-218.34109497070312,-6.007565975189209,-6.318846702575684,-6.421796798706055,406.4927062988281,554.9326171875,615.1073608398438,-47.23113472259042,-48.06025324810022,-48.843277520885025,llava-1.5-7b-hf,batch1,149
fr48,-199.5237579345703,-169.45053100585938,-175.9453887939453,-4.988093852996826,-4.706959247589111,-4.887372016906738,146.6566162109375,110.71499633789062,132.60462951660156,-39.80573113128371,-36.41974067122117,-37.815670415049304,llava-1.5-7b-hf,batch1,149
fr49,-178.39276123046875,-151.25192260742188,-155.9701385498047,-5.246845722198486,-5.041730880737305,-5.199005126953125,189.96612548828125,154.73760986328125,181.09197998046875,-39.90676672967088,-36.894996087830506,-38.045914077729904,llava-1.5-7b-hf,batch1,149
fr50,-189.3064422607422,-167.18304443359375,-177.41006469726562,-5.408755302429199,-5.393001079559326,-5.722905158996582,223.35340881347656,219.8622283935547,305.7920227050781,-41.49907350240116,-39.87229457825312,-42.31138620977835,llava-1.5-7b-hf,batch1,149
fr51,-198.72459411621094,-206.45498657226562,-207.08270263671875,-3.974491834640503,-4.301145553588867,-4.314223289489746,53.223060607910156,73.78427124023438,74.75553131103516,-33.76622167988846,-36.13480218831224,-36.244668247718366,llava-1.5-7b-hf,batch1,149
fr52,-184.7227325439453,-159.89984130859375,-168.23544311523438,-4.104949474334717,-3.899996042251587,-4.1033034324646,60.639678955078125,49.402252197265625,60.53994369506836,-33.873910925212215,-31.34460257497297,-32.978601231345216,llava-1.5-7b-hf,batch1,149
fr53,-204.66940307617188,-177.81092834472656,-187.04769897460938,-4.873081207275391,-4.679234981536865,-4.922307968139648,130.72308349609375,107.68766021728516,137.31918334960938,-39.43625234271178,-36.78787356847524,-38.69889868530244,llava-1.5-7b-hf,batch1,149
fr54,-180.19656372070312,-161.49740600585938,-163.90956115722656,-5.4605021476745605,-5.568876266479492,-5.6520538330078125,235.2154998779297,262.13934326171875,284.8759460449219,-41.15670784104018,-40.318411930375625,-40.92061519442849,llava-1.5-7b-hf,batch1,149
fr55,-152.71340942382812,-135.5564422607422,-137.427001953125,-4.3632402420043945,-4.372788429260254,-4.433128833770752,78.51112365722656,79.26435089111328,84.1944351196289,-33.47728121028647,-32.32951293662531,-32.77563178398557,llava-1.5-7b-hf,batch1,149
fr56,-164.7400360107422,-143.81597900390625,-147.99322509765625,-4.992122650146484,-4.959171772003174,-5.103214740753174,147.2486572265625,142.4757537841797,164.550048828125,-37.62645297901189,-35.90417968347657,-36.94704428983597,llava-1.5-7b-hf,batch1,149
fr57,-204.2366180419922,-174.9641876220703,-187.08245849609375,-4.439926624298096,-4.16581392288208,-4.454344272613525,84.76872253417969,64.44511413574219,85.99974060058594,-36.86366152297962,-33.712571348212634,-36.0475524492591,llava-1.5-7b-hf,batch1,149
fr58,-175.18560791015625,-159.8343048095703,-166.73777770996094,-4.86626672744751,-4.994822025299072,-5.210555553436279,129.83529663085938,147.64666748046875,183.19581604003906,-37.652371884261036,-37.29319718666508,-38.90394386869808,llava-1.5-7b-hf,batch1,149
fr59,-216.66761779785156,-206.2020263671875,-206.23292541503906,-4.814836025238037,-5.029317378997803,-5.030071258544922,123.32659912109375,152.82864379882812,152.94390869140625,-39.7318699468476,-40.421056792419854,-40.42711382391486,llava-1.5-7b-hf,batch1,149
fr60,-257.8662109375,-240.380126953125,-233.43716430664062,-5.372212886810303,-5.463184833526611,-5.305390357971191,215.3388671875,235.8473663330078,201.41961669921875,-45.13305625589524,-44.79841993780703,-43.504495351810085,llava-1.5-7b-hf,batch1,149
