,n_logprob,r_logprob,i_logprob,n_logprob_norm,r_logprob_norm,i_logprob_norm,n_perp,r_perp,i_perp,n_penlp,r_penlp,i_penlp,model,batch,seed
de53,-211.0107421875,-173.90380859375,-178.87057495117188,-6.394265174865723,-5.609800338745117,-5.770018577575684,598.4034423828125,273.0897216796875,320.543701171875,-48.19463417178476,-41.47516219735044,-42.65971037910786,InternVL3-1B-hf,batch2,110
de54,-152.9478302001953,-139.14544677734375,-140.42926025390625,-7.283230304718018,-7.323444843292236,-7.3910136222839355,1455.6827392578125,1515.415283203125,1621.3487548828125,-47.32445728152779,-45.90087944268345,-46.324379952253715,InternVL3-1B-hf,batch2,110
de55,-164.12860107421875,-139.29498291015625,-143.3095703125,-5.29447078704834,-4.803275108337402,-4.941709518432617,199.232177734375,121.90902709960938,140.00938415527344,-39.1438255770443,-34.77549664545417,-35.77775292077985,InternVL3-1B-hf,batch2,110
de56,-152.97250366210938,-122.74803161621094,-145.82142639160156,-5.665648460388184,-4.909921169281006,-5.832857131958008,288.7751770019531,135.62872314453125,341.33251953125,-40.08800024455003,-33.87182002137304,-40.23882945381517,InternVL3-1B-hf,batch2,110
de57,-238.97427368164062,-208.48114013671875,-236.0287322998047,-5.689863681793213,-5.212028503417969,-5.9007182121276855,295.8533020019531,183.46585083007812,365.29974365234375,-46.04620729175636,-41.592762165932676,-47.08860916836157,InternVL3-1B-hf,batch2,110
de58,-190.44088745117188,-172.03314208984375,-184.00457763671875,-6.566926956176758,-6.371597766876221,-6.814984321594238,711.1809692382812,584.9917602539062,911.4022216796875,-47.54425683075101,-45.0830343824502,-48.22027081149357,InternVL3-1B-hf,batch2,110
de59,-200.57269287109375,-182.65066528320312,-190.54513549804688,-5.899197101593018,-5.707833290100098,-5.954535484313965,364.7445373535156,301.21771240234375,385.497802734375,-44.868455488549124,-42.616804226086266,-44.45877447619739,InternVL3-1B-hf,batch2,110
de60,-202.53851318359375,-191.15623474121094,-197.22369384765625,-5.957015037536621,-5.973632335662842,-6.163240432739258,386.4548645019531,392.93035888671875,474.9646911621094,-45.308212864926276,-44.60135866426072,-46.01704317046407,InternVL3-1B-hf,batch2,110
fr61,-215.10549926757812,-181.78099060058594,-198.73565673828125,-4.676206588745117,-4.1313862800598145,-4.516719818115234,107.36203002929688,62.26417922973633,91.53485107421875,-38.8254388108854,-33.87759735738726,-37.037352130667266,InternVL3-1B-hf,batch2,110
fr62,-200.7770538330078,-176.8343048095703,-193.25064086914062,-4.563115119934082,-4.21034049987793,-4.601205825805664,95.88169860839844,67.37947845458984,99.6043472290039,-37.41779690981165,-34.072910569455416,-37.23605445739176,InternVL3-1B-hf,batch2,110
fr63,-197.43548583984375,-177.73013305664062,-188.91265869140625,-5.982893466949463,-5.733230113983154,-6.093956470489502,396.5862121582031,308.96563720703125,443.1713562011719,-45.09405973334156,-42.3877208641293,-45.05469560279872,InternVL3-1B-hf,batch2,110
fr64,-238.8112030029297,-210.22605895996094,-233.90139770507812,-5.306915760040283,-4.888978004455566,-5.439567565917969,201.72711181640625,132.81776428222656,230.34255981445312,-43.79249541763647,-39.83039003472556,-44.31602792894051,InternVL3-1B-hf,batch2,110
fr65,-198.07937622070312,-184.4059600830078,-189.85931396484375,-6.189980506896973,-6.1468658447265625,-6.328644275665283,487.8365783691406,467.25067138671875,560.3963012695312,-46.21669450004072,-44.98228557063875,-46.312526315135706,InternVL3-1B-hf,batch2,110
fr66,-219.90377807617188,-207.30624389648438,-207.70867919921875,-5.943345546722412,-5.923035621643066,-5.934533596038818,381.2081604003906,373.5439147949219,377.86370849609375,-46.361156259722705,-45.444924907085294,-45.533145318438926,InternVL3-1B-hf,batch2,110
fr67,-155.66270446777344,-142.81088256835938,-145.758544921875,-4.86445951461792,-4.7603631019592285,-4.858618259429932,129.6008758544922,116.78832244873047,128.84605407714844,-36.319862242605716,-34.83596679517972,-35.55499230656762,InternVL3-1B-hf,batch2,110
fr68,-172.5005645751953,-155.21484375,-158.21597290039062,-4.662177562713623,-4.4347100257873535,-4.520456314086914,105.86636352539062,84.32766723632812,91.87751770019531,-36.367386222854456,-34.02563659493977,-34.68353327143384,InternVL3-1B-hf,batch2,110
fr69,-265.7150573730469,-231.6491241455078,-238.15733337402344,-7.591858863830566,-7.019670486450195,-7.216888904571533,1981.9942626953125,1118.4180908203125,1362.244384765625,-58.249093717744785,-52.90841915757433,-54.394887380140126,InternVL3-1B-hf,batch2,110
fr70,-205.23464965820312,-198.55813598632812,-206.33489990234375,-6.219232082366943,-6.4051008224487305,-6.655964374542236,502.3173522949219,604.9227905273438,777.4072875976562,-46.87538064229155,-47.35509223305471,-49.20981035220028,InternVL3-1B-hf,batch2,110
fr71,-195.51295471191406,-175.21429443359375,-190.01026916503906,-6.1097798347473145,-5.840476989746094,-6.333675861358643,450.2395935058594,343.9433898925781,563.22314453125,-45.617886481290306,-42.74015560409288,-46.349348931500714,InternVL3-1B-hf,batch2,110
fr72,-241.8086700439453,-218.72943115234375,-245.1412353515625,-6.535369396209717,-6.249412536621094,-7.004035472869873,689.0883178710938,517.7086181640625,1101.067626953125,-50.979249355961,-47.94907469671402,-53.73897487499076,InternVL3-1B-hf,batch2,110
fr73,-194.5042266845703,-177.79776000976562,-198.34681701660156,-5.118532180786133,-4.938826560974121,-5.509634017944336,167.08993530273438,139.60633850097656,247.06069946289062,-40.241603631547726,-38.213797696837986,-42.63037475200948,InternVL3-1B-hf,batch2,110
fr74,-196.95602416992188,-171.55355834960938,-182.0445556640625,-3.716151475906372,-3.363795280456543,-3.5695011615753174,41.105892181396484,28.898662567138672,35.49888229370117,-32.07361223133568,-28.732294505026537,-30.48935759010708,InternVL3-1B-hf,batch2,110
fr75,-197.72702026367188,-169.4041290283203,-194.17819213867188,-6.37829065322876,-5.841521739959717,-6.695799827575684,588.9202270507812,344.30291748046875,809.0007934570312,-47.15687541606446,-42.29235395039419,-48.47728847272353,InternVL3-1B-hf,batch2,110
