,n_logprob,r_logprob,i_logprob,n_logprob_norm,r_logprob_norm,i_logprob_norm,n_perp,r_perp,i_perp,n_penlp,r_penlp,i_penlp,model,batch,seed
or1,-436.0249938964844,-443.4188232421875,-512.3062133789062,-10.140115737915039,-11.085471153259277,-12.807655334472656,25339.3984375,65216.72265625,365000.96875,-82.61128833268707,-88.46370296572341,-102.20699328114185,Qwen2.5-VL-7B-Instruct,batch1,425
or2,-420.76416015625,-354.59808349609375,-412.388427734375,-9.785212516784668,-8.864952087402344,-10.309710502624512,17769.033203125,7079.45458984375,30022.744140625,-79.7199010178328,-70.74363533160162,-82.27302375404562,Qwen2.5-VL-7B-Instruct,batch1,425
or3,-379.23297119140625,-301.11712646484375,-335.72137451171875,-9.48082447052002,-8.138300895690918,-9.073551177978516,13105.98828125,3423.096923828125,8721.541015625,-75.65838696920133,-63.48293910475557,-70.77837061114684,Qwen2.5-VL-7B-Instruct,batch1,425
or4,-408.7524108886719,-382.42730712890625,-427.0491943359375,-10.218810081481934,-10.3358736038208,-11.5418701171875,27414.025390625,30818.59765625,102936.765625,-81.54762488201585,-80.62513658881667,-90.03253424022182,Qwen2.5-VL-7B-Instruct,batch1,425
or5,-465.0283203125,-368.16070556640625,-436.3502502441406,-9.688090324401855,-8.18134880065918,-9.696672439575195,16124.421875,3573.671630859375,16263.400390625,-81.39162267496734,-67.51222643132392,-80.01662440462071,Qwen2.5-VL-7B-Instruct,batch1,425
or6,-386.65606689453125,-317.2315673828125,-391.8853759765625,-8.226724624633789,-7.209808349609375,-8.906486511230469,3739.5654296875,1352.633056640625,7379.68701171875,-68.71367150199245,-59.12083146505389,-73.03368154018362,Qwen2.5-VL-7B-Instruct,batch1,425
or7,-328.22967529296875,-257.30780029296875,-268.51904296875,-8.00560188293457,-6.7712578773498535,-7.066290855407715,2997.703857421875,872.4085693359375,1171.7935791015625,-64.34170691586293,-53.23523651487051,-55.55476648944288,Qwen2.5-VL-7B-Instruct,batch1,425
or8,-377.8197326660156,-343.6463928222656,-352.1741943359375,-9.942625045776367,-9.81846809387207,-10.062119483947754,20798.26953125,18369.888671875,23438.130859375,-78.16833693171994,-75.33291917727635,-77.20235297785624,Qwen2.5-VL-7B-Instruct,batch1,425
or9,-424.09295654296875,-366.5657043457031,-421.8367614746094,-9.219411849975586,-8.524784088134766,-9.81015682220459,10091.1279296875,5038.09912109375,18217.84375,-76.54660243671556,-69.45121384891685,-79.92312096627008,Qwen2.5-VL-7B-Instruct,batch1,425
or10,-298.0276794433594,-235.358154296875,-264.712890625,-6.9308762550354,-5.883954048156738,-6.617822170257568,1023.3903198242188,359.2268371582031,748.3135986328125,-56.46568637636877,-46.95482636493259,-52.81120534357157,Qwen2.5-VL-7B-Instruct,batch1,425
or11,-457.5867004394531,-379.52301025390625,-426.3790588378906,-9.947537422180176,-8.826116561889648,-9.915792465209961,20900.689453125,6809.79052734375,20247.6171875,-82.59205133796746,-71.90616425171767,-80.78372538671282,Qwen2.5-VL-7B-Instruct,batch1,425
or12,-381.9761657714844,-328.7853698730469,-360.88092041015625,-8.488359451293945,-7.82822322845459,-8.592403411865234,4857.89013671875,2510.465087890625,5390.5537109375,-70.04566485513188,-63.35125142315347,-69.53550862543122,Qwen2.5-VL-7B-Instruct,batch1,425
or13,-416.5943603515625,-337.2174072265625,-432.88409423828125,-9.05639934539795,-7.8422651290893555,-10.067071914672852,8573.2255859375,2545.965087890625,23554.494140625,-75.19314430297057,-63.89075133112299,-82.0161991269764,Qwen2.5-VL-7B-Instruct,batch1,425
or14,-341.41455078125,-306.5762023925781,-369.14007568359375,-7.939873218536377,-7.664405345916748,-9.22850227355957,2807.00439453125,2131.125244140625,10183.2783203125,-64.68596133335576,-61.16309160381223,-73.64481681054447,Qwen2.5-VL-7B-Instruct,batch1,425
or15,-464.77410888671875,-430.907470703125,-429.139404296875,-9.29548168182373,-9.168243408203125,-9.13062572479248,10888.708984375,9587.767578125,9233.7978515625,-78.97193430705492,-76.57770542037174,-76.2634976666734,Qwen2.5-VL-7B-Instruct,batch1,425
cs16,-407.4591064453125,-341.10980224609375,-368.57867431640625,-9.938026428222656,-8.976573944091797,-9.69943904876709,20702.845703125,7915.466796875,16308.45703125,-79.87277318451923,-70.57330162333102,-76.25642471479902,Qwen2.5-VL-7B-Instruct,batch1,425
cs17,-433.6313781738281,-314.4410705566406,-385.2099914550781,-9.85525894165039,-7.6692938804626465,-9.395365715026855,19058.318359375,2141.568603515625,12032.4892578125,-80.81367134575689,-61.638775305759026,-75.51135755516995,Qwen2.5-VL-7B-Instruct,batch1,425
cs18,-490.787841796875,-432.52557373046875,-474.1076354980469,-11.413670539855957,-10.813139915466309,-11.852690696716309,90551.1796875,49669.1796875,140461.78125,-92.98690780667597,-86.29045920919965,-94.5862350493251,Qwen2.5-VL-7B-Instruct,batch1,425
cs19,-388.8367004394531,-333.09259033203125,-396.79852294921875,-10.801019668579102,-10.093714714050293,-12.024197578430176,49070.8125,24190.486328125,166741.109375,-83.57207091294694,-76.07800138497116,-90.62837017297119,Qwen2.5-VL-7B-Instruct,batch1,425
cs20,-561.3535766601562,-550.9881591796875,-565.3613891601562,-11.694866180419922,-12.244181632995605,-12.563587188720703,119954.3046875,207768.890625,285954.28125,-98.25095914172144,-101.03858668536755,-103.67430728867856,Qwen2.5-VL-7B-Instruct,batch1,425
cs21,-520.0806884765625,-475.6588134765625,-534.4490966796875,-11.30610179901123,-11.061832427978516,-12.429048538208008,81316.3046875,63693.15625,249958.078125,-93.8718954927873,-90.12049294913814,-101.25916872423996,Qwen2.5-VL-7B-Instruct,batch1,425
cs22,-408.10784912109375,-295.4865417480469,-358.7795104980469,-9.953849792480469,-7.775961875915527,-9.441566467285156,21033.0390625,2382.634033203125,12601.44140625,-79.99994392577435,-61.134158851803306,-74.22904426646296,Qwen2.5-VL-7B-Instruct,batch1,425
cs23,-491.77044677734375,-413.4462585449219,-462.2628479003906,-13.291093826293945,-12.160183906555176,-13.595966339111328,591900.5,191029.65625,802884.625,-103.67737528848086,-92.48863732588146,-103.40899211219494,Qwen2.5-VL-7B-Instruct,batch1,425
cs24,-515.4602661132812,-449.2392578125,-531.763671875,-11.454672813415527,-10.696172714233398,-12.661040306091309,94341.15625,44186.41796875,315224.5,-94.52358623838354,-86.5606312769321,-102.46165785193008,Qwen2.5-VL-7B-Instruct,batch1,425
