,n_logprob,r_logprob,i_logprob,n_logprob_norm,r_logprob_norm,i_logprob_norm,n_perp,r_perp,i_perp,n_penlp,r_penlp,i_penlp,model,batch,seed
or16,-144.08096313476562,-123.78961944580078,-131.18966674804688,-4.116599082946777,-3.993213415145874,-4.231924533843994,61.35023880004883,54.2288703918457,68.849609375,-31.584907560572464,-29.523186331454465,-31.288059479492883,llava-1.5-7b-hf,batch2,379
or17,-134.65188598632812,-120.30464172363281,-122.29935455322266,-3.639240264892578,-3.6455953121185303,-3.706041097640991,38.06290817260742,38.30556869506836,40.69239044189453,-28.387948499530374,-27.47745511404388,-27.93304545083548,llava-1.5-7b-hf,batch2,379
or18,-162.279296875,-144.7555389404297,-150.28985595703125,-4.2705078125,-4.257515907287598,-4.420289993286133,71.55796813964844,70.6343002319336,83.1203842163086,-33.57448449200233,-32.3820623969179,-33.62009860795137,llava-1.5-7b-hf,batch2,379
or19,-158.10694885253906,-138.00338745117188,-137.99655151367188,-4.391859531402588,-4.312605857849121,-4.312392234802246,80.79051208496094,74.63472747802734,74.61878204345703,-33.981682095339025,-32.199517786723185,-32.19792279767845,llava-1.5-7b-hf,batch2,379
or20,-170.4705352783203,-161.06939697265625,-160.63555908203125,-4.261763572692871,-4.47415018081665,-4.462099075317383,70.93496704101562,87.72002410888672,86.66924285888672,-34.009505250598096,-34.61839649007222,-34.52515238292118,llava-1.5-7b-hf,batch2,379
or21,-172.08804321289062,-146.40921020507812,-148.1025848388672,-4.197268962860107,-3.957005739212036,-4.002772808074951,66.50445556640625,52.30048751831055,54.74974822998047,-33.73381285602897,-30.866683290129927,-31.22368855256863,llava-1.5-7b-hf,batch2,379
or22,-131.83546447753906,-105.79557800292969,-105.66161346435547,-3.6620962619781494,-3.3061118125915527,-3.3019254207611084,38.94289016723633,27.278854370117188,27.164892196655273,-28.335192572373447,-24.684659257855536,-24.653402100895264,llava-1.5-7b-hf,batch2,379
or23,-166.88870239257812,-140.7056884765625,-152.03335571289062,-4.768248558044434,-4.538893222808838,-4.904301643371582,117.71289825439453,93.587158203125,134.86868286132812,-36.58473765922222,-33.55758162426483,-36.259171886970584,llava-1.5-7b-hf,batch2,379
or24,-162.59571838378906,-145.6065673828125,-165.6254425048828,-3.5346896648406982,-3.466823101043701,-3.943463087081909,34.28437423706055,32.03480911254883,51.59697723388672,-29.347692813603786,-28.05586593677411,-31.913156763177618,llava-1.5-7b-hf,batch2,379
or25,-146.49200439453125,-121.85536193847656,-127.56416320800781,-4.439151763916016,-4.201909065246582,-4.398764133453369,84.70306396484375,66.81376647949219,81.35026550292969,-33.458621526540234,-30.421632149201585,-31.846855048479988,llava-1.5-7b-hf,batch2,379
or26,-139.83139038085938,-113.18106079101562,-116.41036987304688,-4.3697309494018555,-4.042181015014648,-4.157513618469238,79.0223617553711,56.950416564941406,63.91241455078125,-32.62603494645219,-28.939005907170106,-29.764700541482977,llava-1.5-7b-hf,batch2,379
or27,-167.16366577148438,-131.89453125,-147.51943969726562,-4.179091930389404,-3.6637370586395264,-4.097762107849121,65.30652618408203,39.00684356689453,60.20540237426758,-33.349772495772385,-28.34788770246566,-31.7061251200947,llava-1.5-7b-hf,batch2,379
or28,-160.49803161621094,-148.20729064941406,-154.61436462402344,-3.209960460662842,-3.221897602081299,-3.3611819744110107,24.778106689453125,25.075658798217773,28.823240280151367,-27.27096834108787,-26.75065544130066,-27.90709941602477,llava-1.5-7b-hf,batch2,379
or29,-184.3092803955078,-172.36444091796875,-183.2421112060547,-4.3883161544799805,-4.5359063148498535,-4.822160720825195,80.50474548339844,93.30803680419922,124.23323822021484,-35.513209016766226,-35.661032306731165,-37.911548419564525,llava-1.5-7b-hf,batch2,379
or30,-177.62139892578125,-147.63848876953125,-147.10223388671875,-4.800578594207764,-4.473893642425537,-4.457643508911133,121.58074188232422,87.69751739501953,86.28394317626953,-37.44698477993534,-33.720477366029655,-33.59799730822758,llava-1.5-7b-hf,batch2,379
cs31,-217.36135864257812,-201.74517822265625,-207.99119567871094,-4.940031051635742,-5.0436296463012695,-5.199779987335205,139.77459716796875,155.03170776367188,181.2323760986328,-40.50852932872164,-40.24891273347729,-41.495016425943575,llava-1.5-7b-hf,batch2,379
cs32,-192.66761779785156,-172.41212463378906,-175.23561096191406,-5.070200443267822,-5.070944786071777,-5.153988361358643,159.2062225341797,159.3247833251953,173.12059020996094,-39.861621725214285,-38.5688880628886,-39.20050679833342,llava-1.5-7b-hf,batch2,379
cs33,-181.31935119628906,-162.5412139892578,-176.91110229492188,-4.532983779907227,-4.515033721923828,-4.9141974449157715,93.0357437133789,91.38064575195312,136.20994567871094,-36.17388434005505,-34.93473184613119,-38.023229724893234,llava-1.5-7b-hf,batch2,379
cs34,-197.33889770507812,-171.73468017578125,-174.83175659179688,-6.166840553283691,-6.1333818435668945,-6.243991374969482,476.67767333984375,460.9925231933594,514.90966796875,-46.043923008159844,-43.91044658301533,-44.70233095016687,llava-1.5-7b-hf,batch2,379
cs35,-210.3383026123047,-185.042236328125,-190.25875854492188,-5.684819221496582,-5.6073408126831055,-5.765417098999023,294.3646545410156,272.4188537597656,319.0721130371094,-44.3445174072275,-42.2634544275406,-43.45490267932731,llava-1.5-7b-hf,batch2,379
