,n_logprob,r_logprob,i_logprob,n_logprob_norm,r_logprob_norm,i_logprob_norm,n_perp,r_perp,i_perp,n_penlp,r_penlp,i_penlp,model,batch,seed
or1,-226.45558166503906,-199.85867309570312,-207.05340576171875,-7.076736927032471,-6.661956310272217,-6.901780605316162,1184.0985107421875,782.0794067382812,994.0431518554688,-52.83754742836388,-48.75167756461388,-50.50669415540865,InternVL3-1B-hf,batch1,122
or2,-173.98599243164062,-151.71804809570312,-171.2993621826172,-5.4370622634887695,-5.0572686195373535,-5.709979057312012,229.76620483398438,157.16065979003906,301.86474609375,-40.59512712994441,-37.00869843137831,-41.78518321370017,InternVL3-1B-hf,batch1,122
or3,-150.65191650390625,-126.60749053955078,-139.7955322265625,-5.194893836975098,-4.68916654586792,-5.1776123046875,180.3489990234375,108.76249694824219,177.25906372070312,-37.61079622222954,-33.17878043574534,-36.63484087613554,InternVL3-1B-hf,batch1,122
or4,-158.99815368652344,-137.80734252929688,-152.7508544921875,-5.48269510269165,-5.103975772857666,-5.657439231872559,240.49400329589844,164.67530822753906,286.41424560546875,-39.69446454310132,-36.11381554699374,-40.02991482550205,InternVL3-1B-hf,batch1,122
or5,-198.54049682617188,-174.36483764648438,-183.12684631347656,-5.365959644317627,-4.9818525314331055,-5.232195854187012,213.9965057373047,145.74412536621094,187.20343017578125,-41.857248100816115,-38.22362898648313,-40.1444048320265,InternVL3-1B-hf,batch1,122
or6,-171.08470153808594,-143.00494384765625,-155.34478759765625,-4.752352714538574,-4.206027984619141,-4.56896448135376,115.8565444946289,67.08953094482422,96.4441909790039,-36.77097041740701,-31.990451271424075,-34.75089548796737,InternVL3-1B-hf,batch1,122
or7,-140.28392028808594,-130.29689025878906,-124.211669921875,-4.676130771636963,-4.653460502624512,-4.436131477355957,107.35389709472656,104.9475326538086,84.44762420654297,-34.219562971429525,-33.31531309683845,-31.759397062427446,InternVL3-1B-hf,batch1,122
or8,-137.2594451904297,-120.37171173095703,-123.90447998046875,-5.083683013916016,-4.814868450164795,-4.956179141998291,161.36727905273438,123.3305892944336,142.0500030517578,-35.97023347748005,-33.21608421521206,-34.190937243396,InternVL3-1B-hf,batch1,122
or9,-179.49293518066406,-140.47564697265625,-168.85565185546875,-5.1283698081970215,-4.256837844848633,-5.116837978363037,168.7418212890625,70.58642578125,166.8070831298828,-39.34779197828078,-32.084491745335455,-38.56645535980038,InternVL3-1B-hf,batch1,122
or10,-112.62150573730469,-104.15946960449219,-105.05364227294922,-3.5194220542907715,-3.471982479095459,-3.5017881393432617,33.76490783691406,32.20051574707031,33.174720764160156,-26.277312782912386,-25.407698344058385,-25.62581456060523,InternVL3-1B-hf,batch1,122
or11,-197.16578674316406,-174.51568603515625,-184.9386444091797,-5.633308410644531,-5.288354396820068,-5.604201316833496,279.5855712890625,198.01730346679688,271.56494140625,-43.22197057057111,-39.85920128288446,-42.2397941409364,InternVL3-1B-hf,batch1,122
or12,-196.16726684570312,-168.740478515625,-180.2000274658203,-5.769625663757324,-5.273139953613281,-5.631250858306885,320.41778564453125,195.0273895263672,279.0108947753906,-43.882954128923004,-39.371222255152766,-42.04501133428096,InternVL3-1B-hf,batch1,122
or13,-178.5794677734375,-152.27459716796875,-167.104248046875,-5.102270603179932,-4.614381790161133,-5.063765048980713,164.39476013183594,100.9254150390625,158.18496704101562,-39.14754495751468,-34.779359705038225,-38.16643655048667,InternVL3-1B-hf,batch1,122
or14,-160.33856201171875,-137.372802734375,-158.8115234375,-5.010580062866211,-4.5790934562683105,-5.293717861175537,149.99169921875,97.42603302001953,199.08221435546875,-37.41085255041771,-33.50945186074861,-38.739015246351975,InternVL3-1B-hf,batch1,122
or15,-224.4349822998047,-204.71649169921875,-209.7555694580078,-5.7547430992126465,-5.532878398895264,-5.669069766998291,315.6844482421875,252.8707275390625,289.7648620605469,-45.58788139634031,-43.159300597928706,-44.22166284301569,InternVL3-1B-hf,batch1,122
cs16,-170.0116729736328,-149.2532958984375,-156.9974365234375,-5.667056083679199,-5.330474853515625,-5.607051372528076,289.18194580078125,206.53604125976562,272.34002685546875,-41.471076209248196,-38.16223298741475,-40.14231454634833,InternVL3-1B-hf,batch1,122
cs17,-164.80140686035156,-137.69873046875,-141.23426818847656,-4.993982315063477,-4.44189453125,-4.555943965911865,147.52273559570312,84.93570709228516,95.19657135009766,-37.6404700172682,-32.84043763470457,-33.68364516170625,InternVL3-1B-hf,batch1,122
cs18,-207.70120239257812,-190.36862182617188,-197.210693359375,-6.490662574768066,-6.345621109008789,-6.573689937591553,658.9598388671875,569.9912719726562,716.0070190429688,-48.46169854439193,-46.43676216766086,-48.10575386111123,InternVL3-1B-hf,batch1,122
cs19,-166.87826538085938,-148.4239959716797,-154.53857421875,-6.675130367279053,-6.453217506408691,-6.71906852722168,792.4508056640625,634.7413330078125,828.0458374023438,-46.049378519833574,-43.281140368928156,-45.06418035296646,InternVL3-1B-hf,batch1,122
cs20,-229.89495849609375,-219.75979614257812,-218.73568725585938,-6.213377475738525,-6.278851509094238,-6.249590873718262,499.3850402832031,533.1759643554688,517.8009033203125,-48.467544247775514,-48.17494758277852,-47.95044613709678,InternVL3-1B-hf,batch1,122
cs21,-212.2956085205078,-193.2974395751953,-206.81033325195312,-6.06558895111084,-5.8574981689453125,-6.266980171203613,430.7763366699219,349.8478088378906,526.8839111328125,-46.53867537215104,-44.148934267959135,-47.235265137194595,InternVL3-1B-hf,batch1,122
cs22,-154.41864013671875,-149.76699829101562,-146.31837463378906,-5.1472883224487305,-5.348821640014648,-5.225656509399414,171.9645538330078,210.3602752685547,185.98324584960938,-37.66745589422863,-38.293580374242964,-37.41180969909121,InternVL3-1B-hf,batch1,122
cs23,-178.9135284423828,-150.62786865234375,-164.82882690429688,-6.881289958953857,-6.276161193847656,-6.867867946624756,973.8818359375,531.7434692382812,960.897705078125,-48.092220092270665,-42.707872052814345,-46.734302974781286,InternVL3-1B-hf,batch1,122
cs24,-215.06394958496094,-193.2781219482422,-206.8578643798828,-6.32541036605835,-6.039941310882568,-6.464308261871338,558.5870361328125,419.868408203125,641.8202514648438,-48.110174475974624,-45.09644611193948,-48.26492745172864,InternVL3-1B-hf,batch1,122
cs25,-178.10250854492188,-162.63746643066406,-162.7654571533203,-6.141465663909912,-6.0236101150512695,-6.028350353240967,464.7342224121094,413.067138671875,415.0298156738281,-44.46393587948325,-42.6208020262689,-42.65434329674766,InternVL3-1B-hf,batch1,122
cs26,-154.5729217529297,-128.94078063964844,-138.62071228027344,-5.520461559295654,-4.959260940551758,-5.331565856933594,249.75027465820312,142.4884490966797,206.76148986816406,-39.52239592413909,-34.65947184305935,-37.261451732405675,InternVL3-1B-hf,batch1,122
cs27,-217.20643615722656,-184.25149536132812,-199.46792602539062,-7.757372856140137,-7.0865960121154785,-7.671843528747559,2338.752197265625,1195.8302001953125,2147.035888671875,-55.53701560224563,-49.5270734661107,-53.617272451541446,InternVL3-1B-hf,batch1,122
cs28,-233.40284729003906,-204.37632751464844,-229.2535400390625,-5.9846882820129395,-5.523684501647949,-6.196041584014893,397.29864501953125,250.5565185546875,490.8023986816406,-47.409460017301804,-43.087585573053765,-48.33231737002721,InternVL3-1B-hf,batch1,122
cs29,-235.7452392578125,-210.6367950439453,-217.696533203125,-7.367038726806641,-7.02122688293457,-7.256551265716553,1582.9393310546875,1120.1600341796875,1417.3599853515625,-55.00504853406616,-51.38079301821831,-53.10288029667292,InternVL3-1B-hf,batch1,122
cs30,-183.67410278320312,-163.90487670898438,-170.78640747070312,-6.333589553833008,-6.070550918579102,-6.325422763824463,563.1744995117188,432.9190979003906,558.5939331054688,-45.85490454680525,-42.952939778681426,-44.75631489678764,InternVL3-1B-hf,batch1,122
de31,-219.66273498535156,-198.30337524414062,-216.70779418945312,-6.460668563842773,-6.1969804763793945,-6.77211856842041,639.4884643554688,491.2633972167969,873.1597290039062,-49.1389306595067,-46.268958873202834,-50.56315357471748,InternVL3-1B-hf,batch1,122
de32,-159.17245483398438,-147.17999267578125,-147.84976196289062,-5.895276069641113,-5.887199401855469,-5.913990497589111,363.3171081542969,360.3945617675781,370.180419921875,-41.71276049978724,-40.61372029368395,-40.79854040403605,InternVL3-1B-hf,batch1,122
de33,-189.70420837402344,-158.5399169921875,-176.8899383544922,-6.119490623474121,-5.466893672943115,-6.099653244018555,454.6330871582031,236.7237091064453,445.7032165527344,-45.24347612312937,-39.58006409382612,-44.16121334268619,InternVL3-1B-hf,batch1,122
de34,-191.97482299804688,-167.9003448486328,-175.73599243164062,-5.999213218688965,-5.596678256988525,-5.8578667640686035,403.11151123046875,269.5296325683594,349.97674560546875,-44.792355042123674,-40.95605833992705,-42.86741379205606,InternVL3-1B-hf,batch1,122
de35,-207.05813598632812,-179.7889404296875,-186.43740844726562,-6.901938438415527,-6.42103385925293,-6.6584792137146,994.2000122070312,614.6382446289062,779.3648071289062,-50.50784800268179,-45.96982191875331,-47.669753461094864,InternVL3-1B-hf,batch1,122
de36,-171.23524475097656,-144.49903869628906,-159.89781188964844,-6.34204626083374,-5.779961585998535,-6.395912170410156,567.9573364257812,323.74676513671875,599.3898315429688,-44.87393727055167,-39.87392194838038,-44.123150773378725,InternVL3-1B-hf,batch1,122
de37,-193.75975036621094,-173.58926391601562,-178.1898193359375,-7.452298164367676,-7.23288631439209,-7.4245758056640625,1723.8201904296875,1384.2120361328125,1676.6881103515625,-52.08290642278685,-49.218170179241014,-50.52257642228087,InternVL3-1B-hf,batch1,122
de38,-181.27902221679688,-165.7337646484375,-182.14236450195312,-6.972270488739014,-6.905573844909668,-7.5892653465271,1066.6417236328125,997.8209228515625,1976.8607177734375,-48.728068304624564,-46.9908820908393,-51.643250801752934,InternVL3-1B-hf,batch1,122
de39,-177.01136779785156,-163.89468383789062,-165.3577880859375,-6.555976867675781,-6.555787086486816,-6.614311218261719,703.4359741210938,703.302490234375,745.69091796875,-46.387629055495836,-45.22607132938913,-45.62980899515717,InternVL3-1B-hf,batch1,122
de40,-189.7913055419922,-168.537353515625,-170.3743896484375,-6.544527530670166,-6.242124080657959,-6.310162544250488,695.427978515625,513.9490356445312,550.1343994140625,-47.38208635603839,-44.166927436016735,-44.64834143643148,InternVL3-1B-hf,batch1,122
