,n_logprob,r_logprob,i_logprob,n_logprob_norm,r_logprob_norm,i_logprob_norm,n_perp,r_perp,i_perp,n_penlp,r_penlp,i_penlp,model,batch,seed
or31,-449.4647216796875,-390.1965637207031,-487.3111877441406,-8.989294052124023,-8.302054405212402,-10.368322372436523,8016.7958984375,4032.147705078125,31835.0234375,-76.37064499752151,-69.342862549792,-86.60135903940281,Qwen2.5-VL-7B-Instruct,batch3,425
or32,-369.3782043457031,-352.170654296875,-378.9249267578125,-9.009223937988281,-9.267648696899414,-9.971708297729492,8178.171875,10589.8232421875,21412.03125,-72.40790810247641,-72.8617167988869,-78.39699408398914,Qwen2.5-VL-7B-Instruct,batch3,425
or33,-405.2005615234375,-355.779541015625,-425.65130615234375,-8.441679000854492,-7.906212329864502,-9.458918571472168,4636.3330078125,2714.0908203125,12822.0107421875,-70.92026392938376,-65.24180492246181,-78.05468353157123,Qwen2.5-VL-7B-Instruct,batch3,425
or34,-476.3522644042969,-448.0260009765625,-482.2486572265625,-10.355484008789062,-10.419209480285645,-11.21508502960205,31428.927734375,33496.94140625,74241.9765625,-85.9791393387372,-84.88505398844744,-91.36903486696188,Qwen2.5-VL-7B-Instruct,batch3,425
or35,-432.37646484375,-351.5667724609375,-419.24310302734375,-9.608366012573242,-8.370637893676758,-9.981978416442871,14888.822265625,4318.39013671875,21633.068359375,-79.28792333553751,-67.7408334890307,-80.78089130779657,Qwen2.5-VL-7B-Instruct,batch3,425
or36,-394.67950439453125,-333.0883483886719,-385.8321533203125,-9.866988182067871,-9.002388000488281,-10.427896499633789,19283.173828125,8122.45703125,33789.203125,-78.7400277420043,-70.22326357026542,-81.34296239290737,Qwen2.5-VL-7B-Instruct,batch3,425
or37,-419.72686767578125,-370.617431640625,-380.96990966796875,-10.493171691894531,-10.016687393188477,-10.296483993530273,36068.37109375,22397.11328125,29628.263671875,-83.73706979174345,-78.1353226906197,-80.31788115186988,Qwen2.5-VL-7B-Instruct,batch3,425
or38,-399.31402587890625,-317.4121398925781,-447.5526123046875,-9.73936653137207,-8.352951049804688,-11.777700424194336,16972.78515625,4242.6826171875,130313.765625,-78.27612173567618,-65.67041621215206,-92.59559617609946,Qwen2.5-VL-7B-Instruct,batch3,425
or39,-371.611083984375,-315.09954833984375,-321.22479248046875,-9.528489112854004,-8.752765655517578,-8.922910690307617,13745.8076171875,6328.16552734375,7501.89306640625,-75.48271596811531,-67.72385880430915,-69.0403480582836,Qwen2.5-VL-7B-Instruct,batch3,425
or40,-448.77972412109375,-423.1036376953125,-441.8951416015625,-10.685232162475586,-10.848811149597168,-11.330644607543945,43705.62890625,51472.92578125,83336.7265625,-86.47208708643808,-85.94203210196626,-89.75901661373298,Qwen2.5-VL-7B-Instruct,batch3,425
or41,-420.8078918457031,-387.89666748046875,-428.6540832519531,-9.147997856140137,-9.020853042602539,-9.96869945526123,9395.6103515625,8273.83203125,21347.703125,-75.95366511606237,-73.4926756242902,-81.21476191091408,Qwen2.5-VL-7B-Instruct,batch3,425
or42,-476.3135986328125,-470.5023193359375,-451.72979736328125,-11.07706069946289,-11.762557983398438,-11.293245315551758,64670.51953125,128355.3671875,80277.5546875,-90.2445515377423,-93.86696107775497,-90.12177318617206,Qwen2.5-VL-7B-Instruct,batch3,425
or43,-415.1318359375,-359.75775146484375,-430.655029296875,-9.024605751037598,-8.366458892822266,-10.015233039855957,8304.939453125,4300.380859375,22364.564453125,-74.92916615112902,-68.16134797822426,-81.59387029453677,Qwen2.5-VL-7B-Instruct,batch3,425
or44,-461.28515625,-399.77972412109375,-462.9490966796875,-9.814577102661133,-9.08590316772461,-10.521571159362793,18298.55078125,8829.9375,37107.37890625,-81.9762042010159,-74.50491099578218,-86.2774652204478,Qwen2.5-VL-7B-Instruct,batch3,425
or45,-440.74981689453125,-396.9584045410156,-445.4136657714844,-9.794440269470215,-9.451391220092773,-10.605087280273438,17933.76171875,12725.857421875,40339.53125,-80.82340398595574,-76.4870155272481,-85.82350588924719,Qwen2.5-VL-7B-Instruct,batch3,425
cs46,-454.9529113769531,-388.7030944824219,-425.56231689453125,-10.110064506530762,-9.254836082458496,-10.132436752319336,24589.24609375,10455.0048828125,25145.564453125,-83.42792564246315,-74.89636013008126,-81.99849447137848,Qwen2.5-VL-7B-Instruct,batch3,425
cs47,-587.85400390625,-547.2333984375,-560.2369384765625,-12.779435157775879,-12.726358413696289,-13.028765678405762,354844.5625,336501.6875,455324.53125,-106.10463115126971,-103.681340969938,-106.14505110249904,Qwen2.5-VL-7B-Instruct,batch3,425
cs48,-465.30145263671875,-487.4581604003906,-491.9848327636719,-11.632536888122559,-13.174545288085938,-13.296887397766113,112705.8828125,526783.6875,595339.625,-92.82936884502126,-102.76823864559267,-103.72257315774443,Qwen2.5-VL-7B-Instruct,batch3,425
cs49,-441.3467712402344,-400.5567321777344,-459.194580078125,-11.928291320800781,-11.78108024597168,-13.505722999572754,151492.484375,130754.9453125,733602.75,-93.04681713610688,-89.6052281648631,-102.72261533657498,Qwen2.5-VL-7B-Instruct,batch3,425
cs50,-446.4871520996094,-449.3063049316406,-474.5672302246094,-10.147435188293457,-10.95868968963623,-11.574810028076172,25525.55078125,57451.1171875,106383.953125,-83.20953645429377,-88.07593207883309,-93.0277422714154,Qwen2.5-VL-7B-Instruct,batch3,425
fr1,-499.50201416015625,-512.2015991210938,-546.8999633789062,-12.182975769042969,-13.478989601135254,-14.392104148864746,195433.578125,714250.875,1779964.875,-97.91562012267711,-105.97103252004064,-113.14988844994481,Qwen2.5-VL-7B-Instruct,batch3,425
fr2,-443.01837158203125,-368.18438720703125,-395.97509765625,-9.844853401184082,-8.766295433044434,-9.427978515625,18861.03515625,6414.36572265625,12431.37109375,-81.23940486660028,-70.94276029690351,-76.29754930584367,Qwen2.5-VL-7B-Instruct,batch3,425
fr3,-452.6981201171875,-405.8067932128906,-437.4509582519531,-11.607644081115723,-11.272411346435547,-12.151415824890137,109934.953125,78622.359375,189362.0,-91.95334879070018,-87.21942671824557,-94.02065819057498,Qwen2.5-VL-7B-Instruct,batch3,425
fr4,-448.8910217285156,-417.35260009765625,-433.51861572265625,-10.94856071472168,-10.982963562011719,-11.408384323120117,56872.1328125,58862.73828125,90073.7734375,-87.99452557554024,-86.34741873739468,-89.69205758751929,Qwen2.5-VL-7B-Instruct,batch3,425
fr5,-467.8649597167969,-394.634521484375,-495.84912109375,-10.633295059204102,-9.625231742858887,-12.093880653381348,41493.625,15142.0625,178774.515625,-87.19360957682427,-77.35881497480614,-97.1995563637744,Qwen2.5-VL-7B-Instruct,batch3,425
fr6,-598.9361572265625,-502.2325744628906,-574.5907592773438,-10.507652282714844,-9.300602912902832,-10.640569686889648,36594.46484375,10944.6162109375,41796.578125,-92.46730083385151,-80.6759834718427,-92.29921943654752,Qwen2.5-VL-7B-Instruct,batch3,425
fr7,-401.49798583984375,-370.8050537109375,-380.6867980957031,-10.851297378540039,-10.906030654907227,-11.196670532226562,51601.0546875,54504.0703125,72887.359375,-84.64570741953013,-82.94972665122965,-85.16028982276784,Qwen2.5-VL-7B-Instruct,batch3,425
fr8,-375.9349365234375,-353.1201477050781,-366.46746826171875,-9.639357566833496,-9.808893203735352,-10.179652214050293,15357.474609375,18194.837890625,26361.298828125,-76.36098937587995,-75.89556744887132,-78.76428642214914,Qwen2.5-VL-7B-Instruct,batch3,425
fr9,-535.6131591796875,-514.5955810546875,-519.2294921875,-11.64376449584961,-11.967339515686035,-12.075104713439941,113978.4296875,157525.015625,175449.171875,-96.6754267503303,-97.49763090720427,-98.37559289117188,Qwen2.5-VL-7B-Instruct,batch3,425
fr10,-357.5658264160156,-291.1748352050781,-331.84747314453125,-7.773170471191406,-6.771507740020752,-7.717382907867432,2375.992431640625,872.6265869140625,2247.071044921875,-64.53879683061712,-55.16731518390899,-62.87333907497255,Qwen2.5-VL-7B-Instruct,batch3,425
fr11,-633.677490234375,-596.7734375,-642.915283203125,-13.77559757232666,-13.87845230102539,-14.951518058776855,960873.0,1064964.75,3114309.75,-114.37553529175824,-113.06742320901344,-121.80966820171258,Qwen2.5-VL-7B-Instruct,batch3,425
fr12,-522.9158325195312,-482.8150634765625,-524.6547241210938,-10.458316802978516,-10.272660255432129,-11.162866592407227,34832.87109375,28930.748046875,70464.6640625,-88.85106546224698,-85.80234091345996,-93.23777758040193,Qwen2.5-VL-7B-Instruct,batch3,425
fr13,-507.58343505859375,-479.1889343261719,-588.8228759765625,-11.535987854003906,-11.68753433227539,-14.361533164978027,102333.0390625,119078.0390625,1726372.875,-94.59573952909868,-93.93371864448147,-115.4248739929551,Qwen2.5-VL-7B-Instruct,batch3,425
fr14,-453.47540283203125,-411.2158508300781,-489.76446533203125,-10.077231407165527,-9.790853500366211,-11.661059379577637,23795.013671875,17869.552734375,115966.8203125,-83.15698447484039,-79.23417871416018,-94.36913751167305,Qwen2.5-VL-7B-Instruct,batch3,425
fr15,-631.28955078125,-629.4263916015625,-623.1256103515625,-12.14018440246582,-12.845436096191406,-12.716849327087402,187247.109375,379054.8125,333317.03125,-104.2436757369117,-108.53028443471118,-107.44385782415324,Qwen2.5-VL-7B-Instruct,batch3,425
cs51,-573.4651489257812,-540.5474243164062,-572.8196411132812,-11.028176307678223,-11.031579971313477,-11.690196990966797,61585.16796875,61795.140625,119395.53125,-94.69523922431199,-93.20512532408476,-98.76973607927002,Qwen2.5-VL-7B-Instruct,batch3,425
cs52,-600.8741455078125,-425.86590576171875,-604.585205078125,-10.72989559173584,-8.035205841064453,-11.407268524169922,45701.91796875,3087.7744140625,89973.328125,-93.98112725010152,-69.35080042113205,-98.45462463107373,Qwen2.5-VL-7B-Instruct,batch3,425
cs53,-537.431884765625,-483.75030517578125,-510.110107421875,-11.434720993041992,-10.994325637817383,-11.593411445617676,92477.53125,59535.35546875,108381.375,-95.50844056600559,-90.1540805015588,-95.06662258840248,Qwen2.5-VL-7B-Instruct,batch3,425
