,n_logprob,r_logprob,i_logprob,n_logprob_norm,r_logprob_norm,i_logprob_norm,n_perp,r_perp,i_perp,n_penlp,r_penlp,i_penlp,model,batch,seed
or1,-388.924560546875,-389.65460205078125,-426.0357971191406,-9.044756889343262,-9.741365432739258,-10.650895118713379,8473.9912109375,17006.74609375,42230.37890625,-73.68742494295934,-77.73754105206403,-84.99572465945579,Qwen2.5-VL-3B-Instruct,batch1,347
or2,-337.17987060546875,-324.0295715332031,-343.5065612792969,-7.841392517089844,-8.100739479064941,-8.587664604187012,2543.74462890625,3296.9052734375,5365.0693359375,-63.883639471317665,-64.6451036034789,-68.5308354336403,Qwen2.5-VL-3B-Instruct,batch1,347
or3,-271.81597900390625,-261.5787353515625,-281.8544921875,-6.7953996658325195,-7.069695949554443,-7.61768913269043,893.7263793945312,1175.79052734375,2033.856689453125,-54.22829786999245,-55.147268182240005,-59.421899292167694,Qwen2.5-VL-3B-Instruct,batch1,347
or4,-367.1339111328125,-305.75982666015625,-386.6248779296875,-9.17834758758545,-8.263779640197754,-10.449321746826172,9685.1357421875,3880.734130859375,34520.953125,-73.244579527826,-64.461735154123,-81.5100883504861,Qwen2.5-VL-3B-Instruct,batch1,347
or5,-394.92645263671875,-225.57550048828125,-318.62078857421875,-8.22763442993164,-5.012789249420166,-7.0804619789123535,3742.968994140625,150.32342529296875,1188.5174560546875,-69.12203711759003,-41.36537125246558,-58.427742284054474,Qwen2.5-VL-3B-Instruct,batch1,347
or6,-313.1832275390625,-284.98529052734375,-312.14337158203125,-6.663472652435303,-6.476938724517822,-7.094167709350586,783.2662353515625,649.9781494140625,1204.9190673828125,-55.65661904620504,-53.11125708670366,-58.17257032925029,Qwen2.5-VL-3B-Instruct,batch1,347
or7,-274.6097106933594,-239.95863342285156,-263.10772705078125,-6.697797775268555,-6.314701080322266,-6.923887729644775,810.6187133789062,552.6368408203125,1016.2633056640625,-53.830774155052566,-49.645811706858254,-54.43520197401913,Qwen2.5-VL-3B-Instruct,batch1,347
or8,-276.3328857421875,-249.93548583984375,-259.5186767578125,-7.271918296813965,-7.141014099121094,-7.414819240570068,1439.308837890625,1262.708251953125,1660.408935546875,-57.17139749581088,-54.78995312499702,-56.89074557317247,Qwen2.5-VL-3B-Instruct,batch1,347
or9,-323.9600830078125,-317.09405517578125,-368.82611083984375,-7.0426106452941895,-7.3742804527282715,-8.577351570129395,1144.3712158203125,1594.4442138671875,5310.0234375,-58.473132592221866,-60.07808907148673,-69.87948079519393,Qwen2.5-VL-3B-Instruct,batch1,347
or10,-244.745849609375,-203.29705810546875,-207.42279052734375,-5.691763877868652,-5.08242654800415,-5.185569763183594,296.416015625,161.16465759277344,178.6752166748047,-46.37066735469901,-40.558518536829986,-41.381617486072074,Qwen2.5-VL-3B-Instruct,batch1,347
or11,-341.2032470703125,-299.6602783203125,-389.552734375,-7.41746187210083,-6.968843460083008,-9.059366226196289,1664.8026123046875,1062.99267578125,8598.69921875,-61.58543522276442,-56.77500602190179,-73.8064416277015,Qwen2.5-VL-3B-Instruct,batch1,347
