,n_logprob,r_logprob,i_logprob,n_logprob_norm,r_logprob_norm,i_logprob_norm,n_perp,r_perp,i_perp,n_penlp,r_penlp,i_penlp,model,batch,seed
or16,-293.1913146972656,-292.83917236328125,-308.4671325683594,-7.151007175445557,-7.706294059753418,-8.11755657196045,1275.3897705078125,2222.29150390625,3352.818359375,-57.47326052615483,-60.58643610426219,-63.819754941915214,Qwen2.5-VL-3B-Instruct,batch2,415
or17,-315.6792297363281,-279.11090087890625,-293.0965576171875,-7.174528121948242,-6.807582855224609,-7.148696422576904,1305.743896484375,904.681396484375,1272.4461669921875,-58.831530204363425,-54.71312660972478,-57.45468562957015,Qwen2.5-VL-3B-Instruct,batch2,415
or18,-326.3363037109375,-288.0453796386719,-326.44873046875,-7.09426736831665,-6.698729515075684,-7.591830730438232,1205.039306640625,811.3743286132812,1981.9384765625,-58.902028235636244,-54.57439422813898,-61.85046861097151,Qwen2.5-VL-3B-Instruct,batch2,415
or19,-336.79205322265625,-335.30438232421875,-378.82672119140625,-8.018858909606934,-8.597548484802246,-9.713505744934082,3037.709228515625,5418.3603515625,16539.484375,-64.89400075577292,-68.10799393407635,-76.94837702425917,Qwen2.5-VL-3B-Instruct,batch2,415
or20,-388.36669921875,-280.78704833984375,-315.05279541015625,-7.925850868225098,-6.104066371917725,-6.848973751068115,2767.91845703125,447.67449951171875,942.9127197265625,-66.96501591541498,-50.68062137568458,-56.86541288830313,Qwen2.5-VL-3B-Instruct,batch2,415
or21,-308.80816650390625,-287.8010559082031,-363.5652160644531,-6.713221073150635,-6.693048000335693,-8.455004692077637,823.218017578125,806.777587890625,4698.52880859375,-55.73828941483628,-54.52810353740609,-68.88272762447798,Qwen2.5-VL-3B-Instruct,batch2,415
or22,-268.75897216796875,-255.0890655517578,-319.647216796875,-6.250208854675293,-6.377226829528809,-7.991180419921875,518.1210327148438,588.2940063476562,2954.782958984375,-50.92030331416215,-50.89121647966089,-63.77080754890384,Qwen2.5-VL-3B-Instruct,batch2,415
or23,-358.79656982421875,-331.6300048828125,-365.2874755859375,-8.542776107788086,-8.503334045410156,-9.366345405578613,5129.56494140625,4931.18212890625,11688.3212890625,-69.13389033543642,-67.36164378274184,-74.19824637825529,Qwen2.5-VL-3B-Instruct,batch2,415
or24,-316.7972717285156,-294.6548156738281,-321.2151794433594,-6.335945129394531,-6.269251346588135,-6.834365367889404,564.502685546875,528.0819091796875,929.2384643554688,-53.828500454822716,-52.363886006770755,-57.08399844594998,Qwen2.5-VL-3B-Instruct,batch2,415
or25,-277.2176513671875,-208.55128479003906,-228.05734252929688,-6.930441379547119,-5.636521339416504,-6.163712024688721,1022.9453735351562,280.48529052734375,475.188720703125,-55.30595157889347,-43.967769844171684,-48.08012934418745,Qwen2.5-VL-3B-Instruct,batch2,415
or26,-265.74505615234375,-261.9222106933594,-261.4523010253906,-6.993290901184082,-7.483491897583008,-7.470065593719482,1089.3004150390625,1778.4400634765625,1754.7218017578125,-54.98084745514863,-57.417639588323794,-57.31462769069559,Qwen2.5-VL-3B-Instruct,batch2,415
or27,-350.40338134765625,-307.086181640625,-381.9854736328125,-8.148916244506836,-7.677154541015625,-9.549636840820312,3459.627685546875,2158.46923828125,14039.595703125,-66.38902625873789,-61.26483435886271,-76.20752143446511,Qwen2.5-VL-3B-Instruct,batch2,415
or28,-298.62335205078125,-224.10623168945312,-287.637451171875,-5.85536003112793,-4.668879985809326,-5.9924468994140625,349.1005554199219,106.57830810546875,400.39312744140625,-50.01431727644957,-39.22421291786962,-50.34377019713157,Qwen2.5-VL-3B-Instruct,batch2,415
or29,-294.4486083984375,-251.08151245117188,-239.8323516845703,-6.543302536010742,-5.978131294250488,-5.710294246673584,694.57666015625,394.70208740234375,301.95989990234375,-53.995119039117355,-48.37906269716837,-46.21154407461037,Qwen2.5-VL-3B-Instruct,batch2,415
or30,-325.9784851074219,-319.0748291015625,-244.0177764892578,-7.950694561004639,-8.396705627441406,-6.421520709991455,2837.544921875,4432.44091796875,614.9375610351562,-63.90041403458691,-66.014415318243,-50.48562084183899,Qwen2.5-VL-3B-Instruct,batch2,415
cs31,-430.54254150390625,-417.2969665527344,-421.04083251953125,-8.969636917114258,-9.273265838623047,-9.356463432312012,7860.7470703125,10649.474609375,11573.3857421875,-75.35574620500259,-76.52268932848192,-77.20922844864701,Qwen2.5-VL-3B-Instruct,batch2,415
cs32,-422.4544677734375,-385.2445068359375,-407.6710510253906,-9.183793067932129,-8.959174156188965,-9.480722427368164,9738.01953125,7778.9306640625,13104.650390625,-76.2508636216673,-72.99018514604484,-77.2392207157363,Qwen2.5-VL-3B-Instruct,batch2,415
cs33,-375.9207763671875,-314.238525390625,-352.2853698730469,-7.998313903808594,-7.14178466796875,-8.006485939025879,2975.936279296875,1263.681640625,3000.355224609375,-66.80587465116595,-58.56303347336029,-65.65363009645111,Qwen2.5-VL-3B-Instruct,batch2,415
cs34,-358.58502197265625,-319.34405517578125,-316.8498229980469,-9.194487571716309,-8.870668411254883,-8.801383972167969,9842.7216796875,7120.03857421875,6643.43212890625,-72.83682465488697,-68.63612409686655,-68.1000426308028,Qwen2.5-VL-3B-Instruct,batch2,415
cs35,-361.0287780761719,-331.155517578125,-353.86212158203125,-8.2052001953125,-8.076963424682617,-8.630783081054688,3659.93359375,3219.4423828125,5601.462890625,-67.28309455067216,-64.91524947146985,-69.36634506046516,Qwen2.5-VL-3B-Instruct,batch2,415
cs36,-324.6211242675781,-288.64862060546875,-326.12255859375,-8.773544311523438,-8.489665031433105,-9.591839790344238,6461.0322265625,4864.23681640625,14644.7890625,-68.43816326867739,-64.5711916217389,-72.95417583828161,Qwen2.5-VL-3B-Instruct,batch2,415
cs37,-394.3970947265625,-370.7484436035156,-376.2969970703125,-9.8599271774292,-10.020228385925293,-10.170188903808594,19147.494140625,22476.5625,26113.009765625,-78.68368596382004,-78.16294325328853,-79.332715580713,Qwen2.5-VL-3B-Instruct,batch2,415
cs38,-353.559326171875,-382.9642028808594,-396.3296813964844,-8.222310066223145,-9.574105262756348,-9.908242225646973,3723.09326171875,14387.3603515625,20095.3203125,-66.98696599037054,-76.40278155637426,-79.06924418589422,Qwen2.5-VL-3B-Instruct,batch2,415
cs39,-335.7008056640625,-334.7928466796875,-338.83819580078125,-8.83423137664795,-9.565509796142578,-9.68109130859375,6865.275390625,14264.2236328125,16011.9619140625,-69.45421696276223,-73.39207681744958,-74.27888361870949,Qwen2.5-VL-3B-Instruct,batch2,415
cs40,-366.16632080078125,-322.27508544921875,-373.63037109375,-9.635955810546875,-9.207859992980957,-10.675153732299805,15305.3212890625,9975.2265625,43267.359375,-75.75732515460086,-70.64797848046204,-81.90589843420452,Qwen2.5-VL-3B-Instruct,batch2,415
cs41,-427.65863037109375,-408.5220947265625,-450.4659423828125,-8.727726936340332,-8.880915641784668,-9.79273796081543,6171.68359375,7193.3740234375,17903.2578125,-73.74001696534295,-73.73614178022805,-81.3067910486835,Qwen2.5-VL-3B-Instruct,batch2,415
cs42,-388.63189697265625,-339.76263427734375,-359.8492431640625,-9.478826522827148,-8.941122055053711,-9.469717025756836,13079.8291015625,7639.76416015625,12961.21875,-76.18214163863001,-70.29458171915398,-74.45036469055499,Qwen2.5-VL-3B-Instruct,batch2,415
cs43,-365.86456298828125,-351.52313232421875,-367.601318359375,-8.13032341003418,-8.369598388671875,-8.752412796020508,3395.89794921875,4313.9033203125,6325.93310546875,-67.0911665645071,-67.73242478984048,-70.830413019471,Qwen2.5-VL-3B-Instruct,batch2,415
cs44,-481.1319274902344,-456.6655578613281,-432.3678894042969,-9.819018363952637,-9.927512168884277,-9.39930248260498,18380.0,20486.310546875,12079.9521484375,-82.9602724605651,-82.42578982942925,-78.04018535563495,Qwen2.5-VL-3B-Instruct,batch2,415
cs45,-441.6076965332031,-338.3045654296875,-416.8076171875,-9.600167274475098,-7.867547988891602,-9.69320011138916,14767.2509765625,2611.1552734375,16207.0263671875,-79.70792312863108,-64.09672929348477,-78.97027630235223,Qwen2.5-VL-3B-Instruct,batch2,415
de46,-300.140380859375,-292.51715087890625,-291.271728515625,-7.695907115936279,-8.125476837158203,-8.09088134765625,2199.327880859375,3379.47900390625,3264.563720703125,-60.96538046190985,-62.87025902873011,-62.602582325520046,Qwen2.5-VL-3B-Instruct,batch2,415
