,n_logprob,r_logprob,i_logprob,n_logprob_norm,r_logprob_norm,i_logprob_norm,n_perp,r_perp,i_perp,n_penlp,r_penlp,i_penlp,model,batch,seed
or1,-202.91944885253906,-178.0646514892578,-193.22476196289062,-6.341232776641846,-5.935488700866699,-6.440825939178467,567.4954833984375,378.22479248046875,626.9244384765625,-47.34600014736025,-43.43544536044593,-47.13346259535753,InternVL3-8B-hf,batch1,345
or2,-169.03765869140625,-151.8784637451172,-146.76382446289062,-5.282426834106445,-5.062615871429443,-4.892127513885498,196.84703063964844,158.00328063964844,133.2367401123047,-39.44056155567766,-37.0478287422896,-35.80021090672528,InternVL3-8B-hf,batch1,345
or3,-138.9526824951172,-112.70435333251953,-124.48130798339844,-4.7914719581604,-4.1742353439331055,-4.610418796539307,120.47858428955078,64.99012756347656,100.52623748779297,-34.69004010792326,-29.535321942141994,-32.621592674608465,InternVL3-8B-hf,batch1,345
or4,-157.13290405273438,-147.05613708496094,-152.49578857421875,-5.4183759689331055,-5.446523666381836,-5.647992134094238,225.51258850097656,231.950439453125,283.7212219238281,-39.22879822097252,-38.53755621628561,-39.96307220779545,InternVL3-8B-hf,batch1,345
or5,-188.07351684570312,-148.4802703857422,-175.17657470703125,-5.083068370819092,-4.242293357849121,-5.005044937133789,161.26812744140625,69.56721496582031,149.16378784179688,-39.65054979536993,-32.549307782707864,-38.40157504863488,InternVL3-8B-hf,batch1,345
or6,-152.77267456054688,-120.45884704589844,-139.1493682861328,-4.243685245513916,-3.542907238006592,-4.092628479003906,69.66410827636719,34.56726837158203,59.89712142944336,-32.8351947681509,-26.94685073782431,-31.127952403863205,InternVL3-8B-hf,batch1,345
or7,-134.56039428710938,-120.92110443115234,-131.87222290039062,-4.485346794128418,-4.318611145019531,-4.709722518920898,88.70771026611328,75.08427429199219,111.02135467529297,-32.8234189371965,-30.918039917438467,-33.71810628769962,InternVL3-8B-hf,batch1,345
or8,-141.5217742919922,-119.84071350097656,-130.0811004638672,-5.241547107696533,-4.793628215789795,-5.203243732452393,188.96221923828125,120.7386474609375,181.8612060546875,-37.08722016446799,-33.069557413594566,-35.89535054110275,InternVL3-8B-hf,batch1,345
or9,-175.81759643554688,-128.93133544921875,-165.40032958984375,-5.023359775543213,-3.907010316848755,-5.012131214141846,151.92086791992188,49.74999237060547,150.22454833984375,-38.54209751321993,-29.447782993594245,-37.77726334610922,InternVL3-8B-hf,batch1,345
or10,-118.12605285644531,-88.34071350097656,-101.57235717773438,-3.691439151763916,-2.944690704345703,-3.3857455253601074,40.10251998901367,19.004783630371094,29.540006637573242,-27.561656349720387,-21.549017181582272,-24.776622049499448,InternVL3-8B-hf,batch1,345
