,n_logprob,r_logprob,i_logprob,n_logprob_norm,r_logprob_norm,i_logprob_norm,n_perp,r_perp,i_perp,n_penlp,r_penlp,i_penlp,model,batch,seed
or31,-179.53810119628906,-151.92166137695312,-168.1521453857422,-4.603540897369385,-4.105990886688232,-4.544652462005615,99.83720397949219,60.70286178588867,94.1277084350586,-36.46829731974315,-32.02884436070901,-35.4506318892605,InternVL3-8B-hf,batch3,443
or32,-135.23443603515625,-117.74253845214844,-125.23564910888672,-4.507814884185791,-4.2050909996032715,-4.4727020263671875,90.72335815429688,67.02669525146484,87.59307861328125,-32.987838451530685,-30.105319670783686,-32.02121595274928,InternVL3-8B-hf,batch3,443
or33,-147.87733459472656,-98.5950927734375,-131.12860107421875,-3.9966847896575928,-2.817002773284912,-3.7465314865112305,54.41744613647461,16.726642608642578,42.37385177612305,-31.17620022900501,-21.61365959403194,-28.745537601677967,InternVL3-8B-hf,batch3,443
or34,-174.8626708984375,-147.6718292236328,-153.6179656982422,-4.9960761070251465,-4.4749040603637695,-4.655089855194092,147.8319549560547,87.78617858886719,105.11866760253906,-38.33276219118562,-33.72809229108933,-35.08618368093271,InternVL3-8B-hf,batch3,443
or35,-201.94012451171875,-175.01748657226562,-196.34478759765625,-5.939415454864502,-5.469296455383301,-6.135774612426758,379.712890625,237.29319763183594,462.096923828125,-45.17435229245976,-40.8357995840152,-45.81197315042742,InternVL3-8B-hf,batch3,443
or36,-136.46141052246094,-103.42251586914062,-121.11685180664062,-4.705565929412842,-3.8304636478424072,-4.485809326171875,110.56084442138672,46.083900451660156,88.74874114990234,-34.068085043081474,-27.102922042852303,-31.739902718519627,InternVL3-8B-hf,batch3,443
or37,-165.23513793945312,-154.09506225585938,-156.0167694091797,-5.697763442993164,-5.707224369049072,-5.7783989906311035,298.19970703125,301.0343322753906,323.24127197265625,-41.25155023588181,-40.382178139946,-40.88578104235009,InternVL3-8B-hf,batch3,443
or38,-167.40737915039062,-135.56210327148438,-139.23440551757812,-5.580246448516846,-4.841504096984863,-4.972657680511475,265.1369323730469,126.65972137451172,144.41017150878906,-40.83580884362618,-34.66156333881351,-35.600525879453144,InternVL3-8B-hf,batch3,443
or39,-141.71142578125,-115.00979614257812,-126.44600677490234,-5.061122417449951,-4.4234538078308105,-4.863307952880859,157.76748657226562,83.38378143310547,129.4517059326172,-36.233869510813335,-30.914802681549443,-33.988872951917074,InternVL3-8B-hf,batch3,443
or40,-176.68508911132812,-146.39859008789062,-168.482421875,-5.69951868057251,-5.048227310180664,-5.809738636016846,298.7236022949219,155.74612426757812,333.5319519042969,-42.13848326843956,-36.54893788805268,-42.0622464235563,InternVL3-8B-hf,batch3,443
or41,-171.34584045410156,-148.448486328125,-152.66221618652344,-4.895595550537109,-4.498439311981201,-4.62612771987915,133.69961547851562,89.87675476074219,102.11786651611328,-37.561815342456825,-33.90547996642701,-34.8678914859495,InternVL3-8B-hf,batch3,443
or42,-206.50665283203125,-187.79470825195312,-185.56884765625,-6.453332901000977,-6.259823799133301,-6.185628414154053,634.8145141601562,523.1267700195312,485.7181091308594,-48.182981329312256,-45.80890547920278,-45.26594961751978,InternVL3-8B-hf,batch3,443
or43,-170.5197296142578,-150.63153076171875,-145.84271240234375,-4.871992111206055,-4.564591884613037,-4.41947603225708,130.58079528808594,96.02339935302734,83.05274963378906,-37.38071831240126,-34.40408504580403,-33.31032391045802,InternVL3-8B-hf,batch3,443
or44,-191.41128540039062,-171.6345977783203,-176.64691162109375,-5.316980361938477,-5.048076629638672,-5.195497512817383,203.76763916015625,155.72267150878906,180.45790100097656,-41.139731663551274,-38.39495397143093,-39.516217176954406,InternVL3-8B-hf,batch3,443
or45,-181.66184997558594,-170.06423950195312,-177.65023803710938,-5.342995643615723,-5.314507484436035,-5.551569938659668,209.13827514648438,203.26437377929688,257.6417236328125,-40.63806749025186,-39.68008761137255,-41.45008398084026,InternVL3-8B-hf,batch3,443
cs46,-192.40878295898438,-158.882568359375,-174.11831665039062,-5.659081935882568,-4.965080261230469,-5.441197395324707,286.8851318359375,143.32005310058594,230.71827697753906,-43.04217483558195,-37.07113412486394,-40.62600156073882,InternVL3-8B-hf,batch3,443
cs47,-239.8731689453125,-217.78347778320312,-226.57252502441406,-6.853518962860107,-6.599499702453613,-6.8658342361450195,947.208251953125,734.7275390625,958.9454345703125,-52.5841284133612,-49.741519941643325,-51.74892919539736,InternVL3-8B-hf,batch3,443
cs48,-190.71221923828125,-190.24703979492188,-192.38792419433594,-6.5762834548950195,-7.046186923980713,-7.125478744506836,717.8663940429688,1148.47119140625,1243.2432861328125,-47.61199579345661,-49.85617150301521,-50.41721203168979,InternVL3-8B-hf,batch3,443
cs49,-184.84400939941406,-165.07980346679688,-183.25172424316406,-7.109385013580322,-6.878325462341309,-7.635488510131836,1223.39501953125,970.9990234375,2070.38232421875,-49.686342112676826,-46.805462946806415,-51.957790164966866,InternVL3-8B-hf,batch3,443
cs50,-181.43780517578125,-161.8667755126953,-167.77151489257812,-5.498115539550781,-5.221508502960205,-5.411983966827393,244.23126220703125,185.21337890625,224.07571411132812,-41.440206099120275,-38.604391836145375,-40.01264175024486,InternVL3-8B-hf,batch3,443
fr1,-193.6732940673828,-172.9700927734375,-186.68661499023438,-6.455776691436768,-6.17750358581543,-6.667379379272461,636.3677978515625,481.7877197265625,786.3322143554688,-47.24287337146686,-44.22632639728373,-47.733472510630854,InternVL3-8B-hf,batch3,443
fr2,-193.494140625,-180.0465545654297,-180.87989807128906,-5.691004276275635,-5.626454830169678,-5.652496814727783,296.19091796875,277.67596435546875,285.0021667480469,-43.284971207459336,-42.00920240612942,-42.20364153936347,InternVL3-8B-hf,batch3,443
fr3,-173.52891540527344,-138.080078125,-152.3164520263672,-6.1974616050720215,-5.31077241897583,-5.858325481414795,491.4998474121094,202.506591796875,350.1373596191406,-44.36921047462615,-37.11612847478973,-40.94288675819644,InternVL3-8B-hf,batch3,443
fr4,-159.6138916015625,-152.71009826660156,-149.2853546142578,-5.320463180541992,-5.453932285308838,-5.331620216369629,204.47857666015625,233.67523193359375,206.77272033691406,-38.93473752058,-39.04609485841216,-38.170430006951555,InternVL3-8B-hf,batch3,443
fr5,-192.26943969726562,-161.12896728515625,-178.6096954345703,-5.8263468742370605,-5.197708606719971,-5.761602878570557,339.1175537109375,180.8573455810547,317.857421875,-43.914140164436965,-38.42842837591313,-42.59749195874943,InternVL3-8B-hf,batch3,443
fr6,-213.1697540283203,-185.2322998046875,-206.43373107910156,-4.634125232696533,-4.209825038909912,-4.691675662994385,102.93783569335938,67.34475708007812,109.03573608398438,-38.47604672841345,-34.520800275283676,-38.472003037144965,InternVL3-8B-hf,batch3,443
fr7,-159.9696502685547,-146.4384765625,-148.76022338867188,-6.152678966522217,-6.1016035079956055,-6.198342800140381,469.9747619628906,446.57330322265625,491.93316650390625,-43.000077723448626,-41.5200439108317,-42.178334221106454,InternVL3-8B-hf,batch3,443
fr8,-151.9103240966797,-138.74710083007812,-143.02706909179688,-5.425368785858154,-5.336427211761475,-5.501041412353516,227.09507751464844,207.76907348632812,244.9468994140625,-38.84160243480335,-37.29542516083933,-38.445886936550146,InternVL3-8B-hf,batch3,443
fr9,-221.72900390625,-198.49066162109375,-219.93263244628906,-6.335114479064941,-6.01486873626709,-6.664625644683838,564.033935546875,409.4720764160156,784.1698608398438,-48.60663018560067,-45.33506078493296,-50.23238463266448,InternVL3-8B-hf,batch3,443
fr10,-156.38873291015625,-144.18515014648438,-138.25721740722656,-4.468249320983887,-4.369246959686279,-4.189612865447998,87.20392608642578,78.984130859375,65.99723815917969,-34.282972330370775,-32.93173841424136,-31.57780473862965,InternVL3-8B-hf,batch3,443
fr11,-243.6639404296875,-226.4966583251953,-223.49664306640625,-6.961826801300049,-6.863535404205322,-6.772625923156738,1055.5601806640625,956.7435913085938,873.6029052734375,-53.415127625972296,-51.731601320158575,-51.04640095354105,InternVL3-8B-hf,batch3,443
fr12,-229.4259033203125,-195.93734741210938,-201.2164306640625,-5.882715702056885,-5.295604228973389,-5.438282012939453,358.7822570800781,199.45811462402344,230.046630859375,-46.60165167943048,-41.30843980925982,-42.42140114941064,InternVL3-8B-hf,batch3,443
fr13,-206.32998657226562,-174.44139099121094,-193.05198669433594,-6.252424240112305,-5.62714147567749,-6.22748327255249,519.2701416015625,277.86669921875,506.47918701171875,-47.12555445487018,-41.603372828902614,-46.041904000922976,InternVL3-8B-hf,batch3,443
fr14,-201.88784790039062,-179.7044677734375,-208.26528930664062,-5.937878131866455,-5.615764617919922,-6.5082902908325195,379.1296081542969,274.7233581542969,670.6787719726562,-45.162657924822305,-41.92938530926828,-48.59331362252934,InternVL3-8B-hf,batch3,443
fr15,-241.98548889160156,-209.61981201171875,-210.6954345703125,-5.902084827423096,-5.374866962432861,-5.40244722366333,365.7992858886719,215.91114807128906,221.9489288330078,-47.43556288826747,-42.578581246073874,-42.79706480476838,InternVL3-8B-hf,batch3,443
cs51,-197.58729553222656,-175.1940155029297,-177.94683837890625,-4.819201946258545,-4.492154121398926,-4.562739372253418,123.86620330810547,89.31362915039062,95.84567260742188,-38.73234145597941,-35.58591409527833,-36.145075423379645,InternVL3-8B-hf,batch3,443
cs52,-179.92930603027344,-153.53929138183594,-162.47219848632812,-3.9984290599823,-3.570681095123291,-3.778423309326172,54.51244354248047,35.540794372558594,43.747013092041016,-32.99490648155478,-29.090255944714485,-30.782725355386642,InternVL3-8B-hf,batch3,443
cs53,-219.93748474121094,-186.60391235351562,-212.97718811035156,-6.109374523162842,-5.4883503913879395,-6.264034748077393,450.0570983886719,241.85791015625,525.3342895507812,-47.27082358849963,-41.74361532256961,-47.643362354152515,InternVL3-8B-hf,batch3,443
cs54,-209.2184295654297,-179.80487060546875,-183.22006225585938,-6.973948001861572,-6.421602725982666,-6.54357385635376,1068.4326171875,614.9879760742188,694.76513671875,-51.034810052323905,-45.9738950688706,-46.84711759085475,InternVL3-8B-hf,batch3,443
cs55,-162.8018035888672,-142.32150268554688,-146.00205993652344,-5.613855361938477,-5.271166801452637,-5.4074835777282715,274.1993408203125,194.64292907714844,223.06954956054688,-40.64405950808834,-37.29679712286836,-38.261324580058535,InternVL3-8B-hf,batch3,443
cs56,-190.0745391845703,-160.12527465820312,-176.5406494140625,-6.554294586181641,-5.93056583404541,-6.538542747497559,702.2535400390625,376.367431640625,691.2785034179688,-47.452796660039134,-41.96245662446245,-46.264272516034794,InternVL3-8B-hf,batch3,443
cs57,-203.7478790283203,-181.27749633789062,-191.46340942382812,-4.969460487365723,-4.648140907287598,-4.909318447113037,143.94920349121094,104.39073944091797,135.54701232910156,-39.93997893538332,-36.821608281359545,-38.89060034719916,InternVL3-8B-hf,batch3,443
cs58,-195.04852294921875,-181.46739196777344,-182.96771240234375,-5.910561561584473,-5.853786468505859,-5.902184009552002,368.9132995605469,348.5516662597656,365.8356018066406,-44.54887989035007,-43.27903785578199,-43.63685654805208,InternVL3-8B-hf,batch3,443
cs59,-184.9072265625,-159.72579956054688,-167.64739990234375,-5.136312007904053,-4.697817802429199,-4.930805683135986,170.0873260498047,109.70750427246094,138.49105834960938,-39.74182435231275,-35.7309353799286,-37.50301096632171,InternVL3-8B-hf,batch3,443
cs60,-237.32061767578125,-211.73858642578125,-215.65945434570312,-6.245279312133789,-5.881627559661865,-5.990540504455566,515.5732421875,358.3920593261719,399.63055419921875,-49.10002416343617,-45.50864704844892,-46.351353129108695,InternVL3-8B-hf,batch3,443
de61,-189.2177734375,-152.99598693847656,-167.66409301757812,-4.615067481994629,-3.922974109649658,-4.299079418182373,100.99464416503906,50.55056381225586,73.6319808959961,-37.091693525032646,-31.07698646261069,-34.05641450627357,InternVL3-8B-hf,batch3,443
de62,-234.29000854492188,-206.2333221435547,-216.990966796875,-5.448605060577393,-5.030080795288086,-5.292462348937988,232.4337158203125,152.9453582763672,198.83241271972656,-44.38965591492509,-40.42719159320812,-42.535974776115424,InternVL3-8B-hf,batch3,443
de63,-188.23666381835938,-164.88267517089844,-170.1157684326172,-5.704141616821289,-5.318795680999756,-5.487605094909668,300.1077575683594,204.1378936767578,241.677734375,-42.993058345730404,-39.32366836324614,-40.5717341392561,InternVL3-8B-hf,batch3,443
de64,-240.7552490234375,-210.9567413330078,-216.3009490966797,-5.350116729736328,-4.905970573425293,-5.03025484085083,210.63287353515625,135.09396362304688,152.9720001220703,-44.14898885418483,-39.968828456936095,-40.98136648721996,InternVL3-8B-hf,batch3,443
de65,-195.0975799560547,-162.47804260253906,-174.90841674804688,-6.967771053314209,-6.249155521392822,-6.72724723815918,1061.853271484375,517.5755615234375,834.845947265625,-49.884052856226944,-43.674337279190325,-47.01564016690096,InternVL3-8B-hf,batch3,443
de66,-226.3606719970703,-224.42330932617188,-231.27796936035156,-6.117856025695801,-6.412094593048096,-6.6079421043396,453.8905029296875,609.1683349609375,740.9566650390625,-47.722429224826264,-49.19726607376158,-50.699919851389446,InternVL3-8B-hf,batch3,443
de67,-175.42628479003906,-171.3579559326172,-169.224609375,-5.658912181854248,-5.908895015716553,-5.835331439971924,286.83642578125,368.2989807128906,342.1781311035156,-41.83826492461851,-42.78013390870036,-42.24753621919234,InternVL3-8B-hf,batch3,443
de68,-178.7792205810547,-131.9561767578125,-146.660400390625,-4.831871032714844,-3.770176410675049,-4.1902971267700195,125.4454574584961,43.38771438598633,66.04241180419922,-37.691082226330415,-28.926955749481692,-32.15036246531523,InternVL3-8B-hf,batch3,443
de69,-256.5114440917969,-221.55787658691406,-221.325439453125,-7.3288984298706055,-6.7138752937316895,-6.706831932067871,1523.702392578125,823.7567138671875,817.97509765625,-56.23151090606107,-50.60358870495601,-50.55050030521498,InternVL3-8B-hf,batch3,443
de70,-201.03854370117188,-188.41757202148438,-183.40748596191406,-6.485114097595215,-6.497157573699951,-6.324396133422852,655.313720703125,663.2537231445312,558.0206909179688,-47.94665669113411,-47.03912881057547,-45.788342692381974,InternVL3-8B-hf,batch3,443
de71,-182.50254821777344,-155.5269317626953,-164.82125854492188,-6.7593536376953125,-6.221076965332031,-6.592850208282471,862.0848388671875,503.2449035644531,729.858154296875,-47.82664872731168,-42.91702418180901,-45.481755850759285,InternVL3-8B-hf,batch3,443
de72,-228.12985229492188,-220.5736083984375,-219.84832763671875,-6.913025856018066,-7.115277290344238,-7.091881275177002,1005.2844848632812,1230.624755859375,1202.1673583984375,-52.10462112515313,-52.605668954330426,-52.43269323014042,InternVL3-8B-hf,batch3,443
de73,-183.1802215576172,-151.24130249023438,-173.96051025390625,-5.233720779418945,-4.583069801330566,-5.271530628204346,187.48912048339844,97.81420135498047,194.71377563476562,-40.156105559975046,-34.54335627474457,-39.73239971154738,InternVL3-8B-hf,batch3,443
de74,-171.00482177734375,-152.01414489746094,-159.06277465820312,-3.4200963973999023,-3.166961431503296,-3.313807964324951,30.57236099243164,23.735252380371094,27.489606857299805,-29.056226010389814,-26.60628908458196,-27.839976128580368,InternVL3-8B-hf,batch3,443
de75,-190.4000701904297,-178.8194580078125,-192.2581329345703,-5.600002288818359,-5.588108062744141,-6.008066654205322,270.4270324707031,267.2295837402344,406.6962890625,-42.59282234320105,-41.72289119187026,-44.858458081394865,InternVL3-8B-hf,batch3,443
