,n_logprob,r_logprob,i_logprob,n_logprob_norm,r_logprob_norm,i_logprob_norm,n_perp,r_perp,i_perp,n_penlp,r_penlp,i_penlp,model,batch,seed
cs1,-433.1051940917969,-447.3968200683594,-457.5735168457031,-10.072214126586914,-11.184920310974121,-11.439337730407715,23675.927734375,72035.9296875,92905.4609375,-82.05808971582972,-89.25732811464239,-91.28761693797334,Qwen2.5-VL-3B-Instruct,batch5,230
cs2,-356.0687561035156,-350.0953674316406,-359.37359619140625,-8.477828025817871,-8.976804733276367,-9.214707374572754,4806.998046875,7917.29345703125,10043.765625,-68.60828783395492,-71.11238152064007,-72.9970021262785,Qwen2.5-VL-3B-Instruct,batch5,230
cs3,-359.5461120605469,-326.6348876953125,-362.517578125,-8.769416809082031,-8.59565544128418,-9.539936065673828,6434.4189453125,5408.11279296875,13904.05859375,-70.48055768963947,-67.57854010127065,-75.00242507342978,Qwen2.5-VL-3B-Instruct,batch5,230
cs4,-353.57061767578125,-287.7638244628906,-380.26995849609375,-8.839265823364258,-7.777400970458984,-10.277566909790039,6899.92529296875,2386.065185546875,29073.048828125,-70.53865208242206,-60.66773271716283,-80.17031412988705,Qwen2.5-VL-3B-Instruct,batch5,230
cs5,-351.3389892578125,-211.35780334472656,-304.37799072265625,-8.170674324035645,-5.283945083618164,-7.609449863433838,3535.7275390625,197.14610290527344,2017.1680908203125,-66.56629080988564,-42.16666716551055,-60.724540207184795,Qwen2.5-VL-3B-Instruct,batch5,230
cs6,-442.4580078125,-433.64239501953125,-489.345947265625,-8.193666458129883,-8.502792358398438,-9.595019340515137,3617.963134765625,4928.51171875,14691.42578125,-71.07411334965732,-72.62770369457974,-81.95709845332472,Qwen2.5-VL-3B-Instruct,batch5,230
cs7,-291.5873718261719,-303.3907470703125,-323.4918212890625,-7.289684295654297,-8.199749946594238,-8.743021965026855,1465.108154296875,3640.040283203125,6266.80517578125,-58.172764207841716,-63.96227457178402,-68.20007826481994,Qwen2.5-VL-3B-Instruct,batch5,230
cs8,-309.39056396484375,-303.62750244140625,-297.857421875,-8.141857147216797,-8.675071716308594,-8.510211944580078,3435.291748046875,5855.11962890625,4965.21533203125,-64.01080662686658,-66.56012278658416,-65.29522659667924,Qwen2.5-VL-3B-Instruct,batch5,230
cs9,-396.70654296875,-345.802001953125,-348.2149353027344,-9.016057968139648,-8.434194564819336,-8.493046760559082,8234.25390625,4601.76220703125,4880.7138671875,-73.93217787698116,-67.78634820488837,-68.25934702880491,Qwen2.5-VL-3B-Instruct,batch5,230
cs10,-281.2005310058594,-267.7728271484375,-258.5428161621094,-6.858549118041992,-7.0466532707214355,-6.803758144378662,951.9848022460938,1149.0068359375,901.2278442382812,-55.12274944188025,-55.400379503738435,-53.49075291125826,Qwen2.5-VL-3B-Instruct,batch5,230
