,n_logprob,r_logprob,i_logprob,n_logprob_norm,r_logprob_norm,i_logprob_norm,n_perp,r_perp,i_perp,n_penlp,r_penlp,i_penlp,model,batch,seed
or31,-357.5270080566406,-361.4678955078125,-409.0003662109375,-7.150539875030518,-7.690805912017822,-8.70213508605957,1274.7939453125,2188.13720703125,6015.7431640625,-60.74907972149681,-64.23741499759113,-72.68453598499703,Qwen2.5-VL-3B-Instruct,batch3,226
or32,-303.23272705078125,-251.85076904296875,-285.14178466796875,-7.3959197998046875,-6.627651691436768,-7.5037312507629395,1629.3228759765625,755.7054443359375,1814.80126953125,-59.441643214571265,-52.10621380770026,-58.99389886271704,Qwen2.5-VL-3B-Instruct,batch3,226
or33,-336.56488037109375,-243.28733825683594,-330.5445251464844,-7.011768341064453,-5.40638542175293,-7.345434188842773,1109.614990234375,222.82472229003906,1549.1072998046875,-58.9072977972633,-44.61331592408903,-60.61428199674811,Qwen2.5-VL-3B-Instruct,batch3,226
or34,-349.82257080078125,-282.0458679199219,-282.3739013671875,-7.604838848114014,-6.559206008911133,-6.566834926605225,2007.88818359375,705.7111206054688,711.1155395507812,-63.14117892633307,-53.437699315253646,-53.4998500315524,Qwen2.5-VL-3B-Instruct,batch3,226
or35,-354.21929931640625,-295.3509216308594,-326.18756103515625,-7.871540069580078,-7.032165050506592,-7.76637077331543,2621.60009765625,1132.4798583984375,2359.89111328125,-64.95569239254584,-56.90901180159399,-62.85069861296594,Qwen2.5-VL-3B-Instruct,batch3,226
or36,-302.1512451171875,-290.5653381347656,-322.18780517578125,-7.553781032562256,-7.8531174659729,-8.707778930664062,1907.9429931640625,2573.74560546875,6049.791015625,-60.280296184384646,-61.258361101276165,-67.92515941021033,Qwen2.5-VL-3B-Instruct,batch3,226
or37,-346.3399963378906,-326.5976867675781,-316.807861328125,-8.658499717712402,-8.826964378356934,-8.56237506866455,5758.88818359375,6815.56591796875,5231.0908203125,-69.09611625677577,-68.85487153863657,-66.79093416145935,Qwen2.5-VL-3B-Instruct,batch3,226
or38,-298.031494140625,-217.33177185058594,-265.99188232421875,-7.2690606117248535,-5.719257354736328,-6.999786376953125,1435.20166015625,304.6785888671875,1096.39892578125,-58.42206385079891,-44.96446770555978,-55.03191411392409,Qwen2.5-VL-3B-Instruct,batch3,226
or39,-312.22784423828125,-299.1385803222656,-318.6773986816406,-8.005842208862305,-8.309405326843262,-8.852149963378906,2998.424560546875,4061.896728515625,6989.3994140625,-63.42062091174352,-64.29339262275583,-68.49284064718208,Qwen2.5-VL-3B-Instruct,batch3,226
or40,-375.15753173828125,-279.68048095703125,-380.2288818359375,-8.93232250213623,-7.171294689178467,-9.749458312988281,7572.83251953125,1301.528564453125,17144.939453125,-72.28636458373593,-56.80950653988868,-77.23318794146333,Qwen2.5-VL-3B-Instruct,batch3,226
or41,-342.1365966796875,-298.80426025390625,-344.61334228515625,-7.4377522468566895,-6.948936462402344,-8.014264106750488,1698.9271240234375,1042.0408935546875,3023.783447265625,-61.75390003780327,-56.612820926341264,-65.29201899276619,Qwen2.5-VL-3B-Instruct,batch3,226
or42,-391.80108642578125,-291.2479248046875,-314.36639404296875,-9.111653327941895,-7.281198024749756,-7.85915994644165,9060.26171875,1452.727294921875,2589.34423828125,-74.2324246840411,-58.10504326568227,-62.71726378614607,Qwen2.5-VL-3B-Instruct,batch3,226
or43,-355.03668212890625,-315.86224365234375,-346.4261169433594,-7.718188762664795,-7.345633506774902,-8.056421279907227,2248.882568359375,1549.416259765625,3153.982666015625,-64.08229926501599,-59.84470442987515,-65.63547556536479,Qwen2.5-VL-3B-Instruct,batch3,226
or44,-407.1153259277344,-366.8533020019531,-340.108154296875,-8.662028312683105,-8.33757495880127,-7.72973108291626,5779.2451171875,4177.94580078125,2274.990478515625,-72.34954049448692,-68.36858140880929,-63.38422445144565,Qwen2.5-VL-3B-Instruct,batch3,226
or45,-370.88201904296875,-264.4952087402344,-347.4051818847656,-8.241823196411133,-6.297504901885986,-8.271552085876465,3796.455810546875,543.21484375,3911.0146484375,-68.01125288591976,-50.96364985945708,-66.93896699779026,Qwen2.5-VL-3B-Instruct,batch3,226
cs46,-362.94708251953125,-371.99896240234375,-345.1040344238281,-8.06549072265625,-8.857118606567383,-8.21676254272461,3182.7177734375,7024.21435546875,3702.49658203125,-66.55616758434113,-71.67776292905859,-66.49557570146861,Qwen2.5-VL-3B-Instruct,batch3,226
cs47,-457.90032958984375,-418.3887939453125,-452.672607421875,-9.954355239868164,-9.729971885681152,-10.527270317077637,21043.673828125,16814.080078125,37319.46484375,-82.64865979023513,-79.26985327815193,-85.7654212843492,Qwen2.5-VL-3B-Instruct,batch3,226
cs48,-350.0884094238281,-321.83514404296875,-304.2867736816406,-8.75221061706543,-8.698246955871582,-8.223966598510742,6324.654296875,5992.3984375,3729.265625,-69.8439385963928,-67.8508097195043,-64.15117914679439,Qwen2.5-VL-3B-Instruct,batch3,226
cs49,-353.3700866699219,-261.9354553222656,-326.9936218261719,-9.550542831420898,-7.703983783721924,-9.617459297180176,14052.3203125,2217.1630859375,15024.828125,-74.49915571683022,-58.595410720008815,-73.1490341777304,Qwen2.5-VL-3B-Instruct,batch3,226
cs50,-345.22625732421875,-261.48431396484375,-311.74658203125,-7.8460516929626465,-6.377665996551514,-7.603574752807617,2555.6240234375,588.5524291992188,2005.3516845703125,-64.33805924473793,-51.257848874281436,-61.11058421263469,Qwen2.5-VL-3B-Instruct,batch3,226
fr1,-394.03717041015625,-406.81854248046875,-414.8750915527344,-9.610662460327148,-10.705751419067383,-10.917765617370605,14923.052734375,44611.69921875,55147.4453125,-77.24171834815606,-84.16799375271195,-85.83483904409988,Qwen2.5-VL-3B-Instruct,batch3,226
